"A.TWEX.PB.","B.ABI.PB.","H.HB.PB.","F.RCD.PB.","I.CPR.PB.","DGE.PB.","K.BBCA.PB.","K.CHRE.PB.","DK.CAB.PB.","DK.RBR.PB.","CN.KCM.PB.","CN.YWU.PB.","CN.JYB.PB.","CN.TTB.PB.","IN.MLC.PB.","IN.UBB.PB.","MX.BEC.PB.","BR.AVS.PB.","CL.CVZ.PB.","U.STZ.PB.","U.BF.B.PB.","U.TAP.PB.","U.SAM.PB."
6.77,126.16,91.93,119.93,5.03,24.82,0,1.71,94.64,47.7,244.79,27.42,68.45,29.7,7.44,11.85,0,5.02,10.72,150.12,38.65,95.53,188.05
6.89,124.6,90.9,115.26,4.99,24.55,0,1.68,95.34,47.87,252.74,27.81,68.21,29.43,7.45,11.73,0,5.02,10.76,149.94,38.58,95.28,184.27
6.9,123.84,89.88,112.25,4.95,24.35,0,1.66,94.61,47.72,255.07,28.38,69.44,29.49,7.45,11.77,0,5.05,10.77,149.66,38.42,95.08,184.89
6.83,124.57,90.1,112.66,4.94,24.38,0,1.67,93.95,47.61,259.75,29.25,70.86,29.94,7.38,11.83,0,5.1,10.84,149.38,38.62,95.39,189.59
6.82,126.56,91.48,114.51,4.99,24.63,0,1.68,94.87,47.9,258.29,29.15,68.76,29.25,7.25,11.8,0,5.1,10.99,149.72,39.39,96.1,191.71
6.91,128.24,93.02,115.44,5.08,24.9,0,1.69,97.19,48.63,258.48,29.29,70.2,29.95,7.24,11.71,0,5.06,11.12,151.6,39.4,96.09,183.48
6.99,125.99,91.82,113.01,5.07,24.71,0,1.68,96.42,48.75,257.94,29.28,69.49,29.89,7.13,11.75,0,4.96,10.87,151.12,39.39,96.16,185.07
6.89,125.87,90.86,110.78,5.02,24.77,0,1.72,95.72,48.1,255.17,29.15,68.59,29.91,7.14,11.76,0,4.98,10.96,152.68,39.66,96.94,183.25
6.75,127.66,91.37,112.43,5.07,24.85,0,1.72,97.27,47.98,251.62,29.17,68.03,30.1,7.26,11.76,0,4.91,10.98,151.43,39.31,96.05,179.35
6.69,125.7,91.09,111.86,5,24.69,0,1.71,96.11,47.39,255.78,29.25,69.11,30.31,6.93,11.75,0,4.96,10.53,151.42,39.26,93.99,182.29
