"A.ASBX.PB.","D.RHM.PB.","I.LDO.PB.","F.CSF.PB.","BA..PB.","RR..PB.","TK.ASE.PB.","IS.ESLT.PB.","U.NOC.PB.","U.RTX.PB.","U.HII.PB.","U.LMT.PB.","X.AXON.PB.","X.MANT.PB.","U.BWXT.PB.","U.CW.PB.","X.SWBI.PB.","U.GD.PB.","U.RGR.PB.","X.POWW.PB.","U.CACI.PB.","X.HON.PB."
0.96,79.86,11.74,85.21,6.71,2.9,0.84,93.62,193.87,56.04,132.81,218.06,19.43,29.3,32.32,72.3,19.76,138.17,71.89,3.37,96.97,100.74
1.02,78.3,11.53,83.01,6.62,2.89,0.85,93.71,193.26,56.33,131.42,217.12,19.52,29.02,32.72,71.82,19.41,135.56,71.26,3.38,99.23,101.35
1.06,78.94,11.54,82.87,6.56,3.04,0.85,93.45,192.12,56.65,133.49,218.51,19.46,29.18,32.45,71.84,19.51,135.7,72.03,3.39,101.34,102.77
1.02,79.24,11.49,83.58,6.65,3.07,0.84,94.2,191.02,57.18,133.81,218.62,19.44,30.23,32.33,71.7,20.77,135.22,73.39,3.41,102.91,102.91
1.01,78.01,11.34,82.71,6.57,3.07,0.84,93.97,186.81,57.12,132.17,215.88,19.84,30.56,33.02,71.98,19.91,132.33,73.31,3.43,101.38,102.24
0.97,76.76,11.57,82.45,6.52,3,0.8,95.35,186.88,57.12,130.08,215.3,19.54,30.44,32.75,70.73,20.65,131.37,74.09,3.46,98.8,102.39
0.99,77.42,11.62,82.82,6.57,2.97,0.8,96.21,186.72,56.95,131.68,216.32,19.54,31.1,32.61,71.13,21.68,131.86,75.64,3.49,98.45,103.71
1.01,75.68,11.37,81.2,6.49,2.9,0.8,97.04,186.78,56.68,131.95,216.44,19.32,29.99,32.65,70.38,21.44,133.58,73.48,3.53,98.68,103.22
1.05,77.63,12.15,82.98,6.52,2.92,0.8,97.44,189.84,57.04,134.09,217.03,19.52,30.06,32.76,70.65,21.58,135.49,73.69,3.56,100.24,103.84
1.07,78.42,12.5,83.03,6.53,2.9,0.8,96.29,188.48,57.09,132.61,216.61,19.32,29.8,32.88,70.65,21.79,134.13,74.64,3.59,99.56,103.31
1.09,78.19,12.39,83.91,6.53,2.87,0.8,97.79,191.69,56.76,134.35,217.09,18.37,29.84,33.27,70.24,21.61,133.25,73.02,3.62,98.46,103.45
1.08,78.56,12.64,84.46,6.59,2.87,0.8,99.37,191.57,57.52,135.42,218.2,18.5,30.88,33.4,71.09,21.9,134.02,74.94,3.64,99.79,104
1.07,78.21,12.43,85.04,6.65,2.98,0.81,99.68,190.91,58.3,137.61,219.27,18.88,31.51,33.72,71.8,22.55,134.08,76.11,3.65,99.95,105.68
1.08,78.43,12.88,86.26,6.53,3.04,0.82,100.69,193.85,58.39,138.52,220.84,19.07,31.77,34.33,73.58,22.48,135.34,76.05,3.66,101.23,106.69
1.05,76.06,12.85,86.25,6.53,2.99,0.84,99.94,194.13,58.5,137.84,221.2,18.95,32.95,34.18,73.81,22.45,134.76,75.89,3.66,100.58,107.24
