"D.2TP.PB.","BATS.PB.","ID.GUD.PB.","U.VGR.PB.","U.STZ.PB.","U.TPB.PB.","U.RLX.PB.","U.PM.PB."
0.23,58.05,4.72,19.03,152.84,13.53,0,90.24
0.22,57.35,4.71,19.33,153.43,12.87,0,90.85
0.23,58.48,4.75,19.32,155.21,13.74,0,92.02
0.25,58.69,4.75,19.14,155.6,13.12,0,90.71
0.37,59.27,4.71,19.11,156.26,13.14,0,89.88
0.37,59.19,4.63,19.51,157.72,12.81,0,91.3
0.3,59.78,4.54,19.24,156.77,12.55,0,91.47
0.37,59.84,4.47,19.36,150.49,12.1,0,90.7
0.38,59.9,4.4,19.44,151.68,12.74,0,91.29
0.35,59.72,4.32,19.29,148.74,12.92,0,91.6
0.32,59.8,4.28,19.38,150.73,13.07,0,91.57
0.33,59.84,4.36,19.42,151.42,13.3,0,91.59
0.35,59.85,4.47,19.44,151.1,13.1,0,91.33
0.35,59.99,4.52,19.54,152.39,12.52,0,90.94
0.32,60.35,4.54,19.7,153.75,12.93,0,91.73
0.32,60.68,4.53,19.64,153.39,12.25,0,91.51
0.39,60.75,4.52,19.57,152.24,11.98,0,91.49
0.39,60.58,4.49,19.57,154.63,12.46,0,91.22
0.52,60.31,4.49,19.59,158,13.15,0,90.39
0.43,60.15,4.63,19.54,146.75,13.01,0,91.13
0.46,60.07,4.57,19.63,149.45,12.9,0,91.84
0.51,61.4,4.52,19.34,150.28,13.08,0,91.31
0.51,61.36,4.47,19.43,149.24,12.62,0,90.51
0.48,61.9,4.48,19.37,148.97,12.71,0,90.43
0.43,61.78,4.49,19.28,147.5,12.82,0,90.49
0.37,62.12,4.47,19.26,149.29,12.93,0,90.39
0.31,62.53,4.48,19.05,152.8,13.03,0,91.08
0.28,60.14,4.44,19.27,153.74,13.05,0,92.36
0.27,60.82,4.47,20.04,150.47,12.98,0,93.49
0.3,62.17,4.5,19.65,149.59,12.96,0,93.85
0.35,62.52,4.44,19.71,150.08,13.12,0,94.55
0.32,62.61,4.5,19.6,151.58,13.1,0,94.77
0.36,63.03,4.52,19.6,153.05,12.86,0,95.78
0.28,64.26,4.47,19.62,154.09,13.2,0,96.38
0.3,64.75,4.49,19.45,149.98,13.27,0,96.35
0.32,64.63,4.46,19.38,148.92,13.2,0,96.31
0.32,64.3,4.46,19.25,148.33,13.25,0,95.92
0.29,64.35,4.38,19.03,149.77,13.27,0,96.12
0.29,63.9,4.45,19.08,149.86,13.13,0,95.97
0.32,64.46,4.4,19.12,149.27,12.99,0,98.84
0.31,65.19,4.38,19.46,149.08,12.99,0,101.1
0.31,65.48,4.39,19.4,149.78,13.05,0,99.99
0.36,65.43,4.44,19.33,152,13.01,0,101.62
0.36,66,4.44,19.32,154.58,13.07,0,102.63
0.31,65.94,4.43,19.46,155.68,13,0,102.76
0.54,65.75,4.39,19.55,155.45,12.99,0,102.64
0.5,65.56,4.37,19.51,155.49,12.63,0,102.72
0.6,64.75,4.37,19.39,155.88,13.17,0,102.57
0.6,65.19,4.35,19.42,156.18,13.06,0,102.92
0.65,65.37,4.33,19.47,158.49,13.04,0,103
0.62,65.7,4.32,19.51,161.31,13.23,0,103.63
0.62,65.44,4.29,19.54,160.67,13.39,0,104.34
0.61,65.58,4.27,19.58,160.07,13.31,0,104.5
0.62,65.67,4.42,19.67,160.17,13.01,0,104.5
0.62,66.44,4.48,19.68,153.54,13.04,0,106.51
0.61,66.59,4.62,19.73,158.85,13.16,0,107.7
0.71,66.87,4.67,19.84,157.74,13.16,0,108.75
0.97,66.72,4.66,19.68,158.8,13.16,0,109.47
0.91,67.78,4.58,20.02,159.62,13.25,0,110.2
0.63,67.71,4.65,18.79,158.4,13.26,0,109.78
0.73,67.08,4.58,18.43,158.75,13.22,0,110.21
0.83,66.74,4.5,18.34,157.79,13.23,0,109.88
0.71,67.09,4.46,18.18,157.17,13.2,0,110.53
0.77,67.01,4.43,18.24,156.42,13.37,0,109.72
0.86,66.97,4.51,18.37,155.79,13.29,0,110.28
0.9,67.09,4.49,18.57,157.56,13.25,0,110.57
0.86,67.5,4.45,18.49,158.36,13.72,0,111.03
0.81,67.91,4.57,17.99,159.1,13.88,0,110.74
0.81,68.1,4.58,17.92,162.07,14.06,0,112.41
0.82,67.59,4.61,18.02,162.02,14.41,0,112.69
0.82,68.2,4.63,18.18,161.68,14.84,0,112.82
0.91,68.13,4.64,17.73,162.54,15.49,0,114.01
0.88,68.14,4.67,17.54,164.56,15.04,0,113.48
0.8,68.04,4.64,17.15,164.18,15.27,0,112.99
0.96,67.95,4.65,17.32,162.71,15.57,0,112.94
1.06,69.29,4.61,17.35,164.07,15.46,0,111.79
0.98,68.67,4.58,17.31,163.73,15.82,0,112.38
1,68.55,4.57,17.46,162.45,15.42,0,112.78
1.11,69.8,4.64,17.6,163.69,15.32,0,113.41
1.68,69.75,4.74,17.93,162.44,15.17,0,113.51
1.49,69.61,4.65,17.96,162.08,15.57,0,112.91
1.45,69.47,4.74,17.84,161.66,15.7,0,112.91
1.58,69.43,4.79,17.75,161.48,15.61,0,113.46
1.61,69.85,4.82,17.59,161.36,15.55,0,113.17
1.55,69.5,4.83,17.6,171.71,15.73,0,112.58
1.56,70.3,4.84,17.58,170.37,15.79,0,113.6
1.4,70.19,4.76,17.86,171.28,16.24,0,113.06
1.31,70.81,4.65,17.98,170.35,16.07,0,113.43
1.41,70.68,4.61,17.87,169.92,15.99,0,113.77
1.41,70.69,4.59,17.97,168.97,16.05,0,113.06
1.38,70.59,4.58,18.1,168.74,16.02,0,113.61
1.4,70.11,4.59,18.22,170.08,16,0,114.78
