"U.MGM.PA.","U.LVS.PA.","X.WYNN.PA.","X.BJK.PA.","X.GDEN.PA.","U.BYD.PA.","U.BALY.PA.","X.RRR.PA."
28.66,56.01,92.34,35.08,11.44,19.6,0,23.17
28.6,56.04,91.98,35,11.08,19.62,0,22.81
28.69,55.85,90.94,34.91,11,19.39,0,22.63
28.75,55.75,90.82,35.05,10.9,19.48,0,22.88
28.5,55.48,92.66,35.12,10.65,19.34,0,22.93
29.01,55.96,94.06,35.12,10.98,19.6,0,23.6
29.61,56.65,96.43,35.49,11.56,20.49,0,23.74
29.49,52.41,95.49,34.94,11.15,20.4,0,23.71
29.79,53.32,103.11,35,11.03,20.65,0,23.7
29.1,52.8,102.54,34.96,10.95,20.34,0,23.61
28.81,52.59,101.43,35,11.03,20.33,0,23.48
28.57,51.75,97.86,34.9,11.06,20.83,0,23.53
28.79,51.7,97.38,34.9,11.26,21.06,0,23.62
28.87,51.81,96.91,35,11.27,21.05,0,23.75
29.04,51.96,97.02,35,11.28,20.83,0,23.74
28.55,51.95,97.02,34.84,11.31,20.81,0,23.47
28.64,52.15,97.18,34.58,11.32,20.67,0,23.23
28.61,52.94,98.89,35,11.46,20.86,0,23.58
28.53,52.74,98.93,35,12.66,20.86,0,23.68
29.16,53.15,98.95,35.35,12.76,20.9,0,23.85
28.71,53.06,97.69,35.5,12.14,20.66,0,23.77
29.58,53.03,99.79,35.72,12.2,21.34,0,24.03
26.87,52.51,96.72,35.29,11.66,20.26,0,23.5
26.62,52.04,95.92,35.12,11.52,20.35,0,23.37
27.02,51.94,96.25,35.18,11.39,20.39,0,23.46
26.95,52.01,95.98,35.15,11.3,20.16,0,23.37
26.46,51.97,94.75,35.06,11.5,20.03,0,22.98
26.17,51.77,93.84,35.4,11.96,19.87,0,22.68
26.4,52.18,94.02,35.09,12.21,19.75,0,22.34
26.47,52.91,95.52,35.42,12.33,19.7,0,22.1
26.31,52.96,96.17,35.36,11.9,19.68,0,21.97
26.83,54.98,102.73,36.07,12.1,20.1,0,22.12
26.31,53.65,100.15,35.82,12.06,19.7,0,22.11
26.47,53.83,101.04,35.92,11.76,19.56,0,22.35
26.56,54.32,100.37,35.73,11.85,19.94,0,22.37
25.76,54.3,99.46,35.46,11.76,19.77,0,22.02
25.69,53.98,99.26,35.48,11.67,19.9,0,21.28
25.43,53.74,99,35.47,11.7,20.05,0,21.17
25.5,54.21,99.56,35.71,11.83,20.35,0,21.75
25.96,55.2,104.32,35.91,13.14,20.31,0,21.7
26.35,55.56,104.73,36.07,13.25,20.33,0,21.67
26.82,56.12,104.78,36.78,13.46,20.35,0,21.94
26.8,56.53,106.18,36.73,13.92,20.21,0,21.85
27.58,57.16,110.2,37.05,14,20.43,0,22.19
26.63,57.37,111.66,37.25,13.53,20.33,0,22.2
26.13,55.92,111.79,36.91,13.24,20.04,0,21.64
26.04,55.86,113.36,36.92,13.01,19.84,0,21.45
25.94,55.6,112.32,37.19,13.13,20.6,0,21.42
25.7,55.63,111.93,37.22,13.06,20.61,0,21.42
26.61,56.63,114.66,37.43,13.18,21.36,0,22
27.18,56.93,115.18,37.8,13.34,21.52,0,22.29
27.29,57.25,115.49,37.93,13.38,21.41,0,22.58
27.33,57.04,114.3,37.96,13.37,21.71,0,22.49
27.41,57.07,114.61,37.83,13.23,22.01,0,22.19
27.76,57.19,116.35,37.86,13.29,21.94,0,21.99
27.82,56.67,116.74,37.8,13.27,21.84,0,22
27.61,56.18,116.67,38.06,13.01,21.33,0,22
28.44,56.69,117.88,38.08,13.11,21.83,0,22.33
28.12,56.2,116.83,38.08,13.28,21.85,0,22.27
27.78,55.55,116.18,38.09,13.38,21.92,0,22.38
27.71,56.17,116.23,38.1,13.81,22.24,0,22.57
27.58,56.52,115.39,38.25,13.47,21.7,0,22.49
27.2,55.9,113.48,38.39,13.3,21.39,0,22.35
26.93,55.88,113.25,38.55,13.33,21.59,0,22.39
27.12,56.46,114.64,38.59,13.5,22.02,0,22.43
27.75,56.89,115.9,38.39,13.71,22.36,0,22.34
28.03,56.69,114.94,38.25,13.7,22.45,0,22.5
28.47,57.78,116.15,38.68,13.89,22.43,0,22.99
28.42,57.37,115.99,38.68,13.87,22.18,0,22.96
29,57.66,115.57,38.94,14.05,22.54,0,22.9
29.36,58.48,118.21,39.2,14.34,22.73,0,22.98
29.8,59.26,125.2,39.73,14.97,22.85,0,23.08
31.01,59.2,124.5,39.53,14.7,23.05,0,23.64
30.72,58.99,123.01,39.37,14.04,22.69,0,23.37
30.98,59.39,125.94,39.76,14.55,22.84,0,23.09
30.96,59.2,125.3,39.57,14.67,22.47,0,23
31.11,59.3,125.89,39.6,14.58,24.33,0,23.13
30.72,58.5,124.32,39.14,14.78,24.29,0,22.83
30.86,58.75,122.12,38.86,15.1,24.39,0,22.82
30.43,57.2,120.21,38.74,15.08,24.46,0,22.51
30.96,58.05,123.47,39.22,15.18,24.59,0,22.92
31.24,58.34,123.27,39.39,16.26,24.84,0,23.35
30.97,57.46,122.23,39,16.19,24.64,0,23.39
31.17,58.65,125.3,39.18,17.98,24.8,0,24.04
