"D.2TP.PA.","BATS.PA.","ID.GUD.PA.","U.VGR.PA.","U.STZ.PA.","U.TPB.PA.","U.RLX.PA.","U.PM.PA."
0.4,56.19,4.47,18.11,153.35,13.55,0,87.92
0.37,56.64,4.47,18.22,154.79,12.43,0,89.29
0.37,57.26,4.48,18.28,155.11,13.83,0,89.09
0.36,57.23,4.47,18.38,157.41,14.12,0,89.62
0.33,57.39,4.58,18.56,156.53,14.52,0,89.99
0.33,57.39,4.58,18.37,154.56,14.06,0,88.9
0.33,57.43,4.45,18.38,155.07,14.1,0,88.61
0.33,58.07,4.43,18.5,156.31,14.49,0,89.25
0.36,58.44,4.46,18.47,156.35,14.48,0,90.26
0.36,58.52,4.48,18.39,155.84,14.09,0,90.61
0.33,57.72,4.62,18.45,150.98,14.52,0,88.34
0.36,56.6,4.62,17.77,145.28,14.24,0,87.77
0.36,57.1,4.71,17.77,146.07,14.32,0,88.12
0.33,57.08,4.8,17.97,148.88,14.48,0,87.77
0.33,56.74,4.79,18.12,148.02,14.48,0,88.19
0.36,57.18,4.65,18.73,149.84,14.5,0,89.85
0.37,57.44,4.79,18.94,151.08,14.42,0,89.39
0.36,58.06,4.75,19.04,152.85,13.58,0,90.25
0.36,57.37,4.73,19.34,153.44,12.9,0,90.86
0.38,58.5,4.75,19.33,155.24,13.79,0,92.03
0.37,58.7,4.76,19.15,155.63,13.2,0,90.72
0.53,59.28,4.71,19.12,156.27,13.16,0,89.89
0.54,59.21,4.65,19.52,157.73,12.84,0,91.31
0.44,59.81,4.54,19.25,156.78,12.57,0,91.48
0.57,59.84,4.47,19.37,150.5,12.15,0,90.71
0.51,59.91,4.41,19.45,151.7,12.81,0,91.31
0.51,59.77,4.32,19.3,148.75,12.94,0,91.61
0.51,59.87,4.31,19.38,150.76,13.11,0,91.58
0.5,59.89,4.38,19.43,151.46,13.41,0,91.6
0.51,59.86,4.47,19.44,151.13,13.22,0,91.34
0.51,59.99,4.53,19.55,152.4,12.57,0,90.95
0.44,60.37,4.55,19.71,153.76,12.97,0,91.74
0.42,60.7,4.54,19.65,153.4,12.31,0,91.52
0.46,60.75,4.52,19.58,152.27,12.05,0,91.5
0.58,60.58,4.52,19.58,154.68,12.54,0,91.23
0.65,60.35,4.57,19.6,158.04,13.22,0,90.4
0.69,60.16,4.66,19.55,146.76,13.05,0,91.14
0.55,60.08,4.58,19.64,149.46,12.96,0,91.85
0.42,61.4,4.52,19.35,150.3,13.15,0,91.32
0.34,61.37,4.49,19.44,149.26,12.63,0,90.52
0.31,61.9,4.48,19.38,148.99,12.75,0,90.44
0.32,61.8,4.52,19.3,147.52,12.83,0,90.5
0.35,62.13,4.48,19.27,149.31,12.99,0,90.4
0.4,62.55,4.49,19.06,152.82,13.08,0,91.09
0.45,60.16,4.47,19.28,153.76,13.06,0,92.37
0.5,60.87,4.47,20.05,150.48,12.99,0,93.5
0.53,62.18,4.5,19.66,149.61,12.97,0,93.86
0.54,62.53,4.44,19.72,150.09,13.14,0,94.56
0.55,62.62,4.51,19.61,151.62,13.11,0,94.79
0.53,63.05,4.53,19.61,153.06,12.87,0,95.79
0.43,64.28,4.49,19.63,154.1,13.22,0,96.39
0.44,64.75,4.5,19.46,149.99,13.29,0,96.36
0.53,64.64,4.47,19.39,148.93,13.21,0,96.32
0.57,64.31,4.46,19.26,148.34,13.29,0,95.93
0.51,64.35,4.39,19.04,149.78,13.28,0,96.13
0.5,63.91,4.45,19.09,149.87,13.14,0,96.02
0.53,64.49,4.41,19.13,149.29,13,0,98.86
0.45,65.21,4.39,19.47,149.1,13,0,101.11
0.45,65.48,4.39,19.41,149.79,13.07,0,100
0.5,65.44,4.44,19.34,152.03,13.03,0,101.63
0.5,66.02,4.44,19.32,154.59,13.08,0,102.64
0.46,65.95,4.43,19.48,155.71,13.01,0,102.77
0.7,65.78,4.4,19.56,155.49,13,0,102.65
0.7,65.58,4.4,19.51,155.5,12.64,0,102.73
0.77,64.75,4.39,19.4,155.89,13.22,0,102.58
0.77,65.21,4.38,19.43,156.21,13.08,0,102.93
0.93,65.37,4.36,19.48,158.5,13.05,0,103.01
