"","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
"103",73134,0,0,0,2818,0,24371880,0,108027.15,0,0,0,24555859.15,4,2230.46092148298,11009.3205011964
"104",69477.3,0,0,0,2811,0,24398400,0,131011.65,0,0,0,24601699.95,4,2230.46092148298,11029.8726657999
"105",70696.2,0,0,0,2831,0,24766365,0,136235.4,0,0,0,24976127.6,4,2230.46092148298,11197.7427443086
"106",70086.75,0,0,0,2831,0,24880732.5,0,120564.15,0,0,0,25074214.4,4,2230.46092148298,11241.7187669572
"107",76181.25,0,0,0,2717,0,24845925,0,122026.8,0,0,0,25046850.05,4,2230.46092148298,11229.4502937747
"108",76181.25,0,0,0,2717,0,24845925,0,122026.8,0,0,0,25046850.05,4,2230.46092148298,11229.4502937747
"109",75571.8,0,0,0,2717,0,24764707.5,0,119937.3,0,0,0,24962933.6,4,2230.46092148298,11191.8273750354
"110",72524.55,0,0,0,2810,0,24814432.5,0,126832.65,0,0,0,25016599.7,4,2230.46092148298,11215.8879176269
"111",71305.65,0,0,0,2810,0,25127700,0,125370,0,0,0,25327185.65,4,2230.46092148298,11355.1353471643
"112",67648.95,0,0,0,2810,0,25043167.5,0,129966.9,0,0,0,25243593.35,4,2230.46092148298,11317.6577571312
"113",70386.75,0,0,0,2832,0,25387019.68,0,138091.8,0,0,0,25598330.23,4,2230.46092148298,11476.6997186305
"114",65220.75,0,0,0,2774,0,25185825.72,0,143113.32,0,0,0,25396933.79,4,2230.46092148298,11386.4060766033
"115",62207.25,0,0,0,2745,0,25167535.36,0,139974.87,0,0,0,25372462.48,4,2230.46092148298,11375.4346626842
"116",67803.75,0,0,0,2745,0,26660693.84,0,144577.93,0,0,0,26875820.52,4,2230.46092148298,12049.4469376898
"117",67803.75,0,0,0,2713,0,26166854.12,0,142276.4,0,0,0,26379647.27,4,2230.46092148298,11826.9937015802
"118",69095.25,0,0,0,2713,0,26439546.76,0,139347.18,0,0,0,26650702.19,4,2230.46092148298,11948.5178750769
"119",83947.5,0,0,0,2849,0,26183481.72,0,138301.03,0,0,0,26408579.25,4,2230.46092148298,11839.9650025886
"120",75552.75,0,0,0,2854,0,26097018.2,0,147716.38,0,0,0,26323141.33,4,2230.46092148298,11801.6599512976
"121",70386.75,0,0,0,2917,0,25947369.8,0,155667.12,0,0,0,26176340.67,4,2230.46092148298,11735.8436625717
"122",71032.5,0,0,0,2917,0,26078727.84,0,157340.96,0,0,0,26310018.3,4,2230.46092148298,11795.7764005599
"123",67803.75,0,0,0,2887,0,26057111.96,0,154830.2,0,0,0,26282632.91,4,2230.46092148298,11783.4984943494
"124",68449.5,0,0,0,2887,0,26279921.8,0,169894.76,0,0,0,26521153.06,4,2230.46092148298,11890.4360998025
"125",69741,0,0,0,2890,0,26155214.8,0,171987.06,0,0,0,26399832.86,4,2230.46092148298,11836.0436651126
"126",68449.5,0,0,0,2890,0,25940718.76,0,160688.64,0,0,0,26172746.9,4,2230.46092148298,11734.2324395436
"127",71032.5,0,0,0,2890,0,25799384.16,0,148762.53,0,0,0,26022069.19,4,2230.46092148298,11666.6779226504
"128",69741,0,0,0,2859,0,25747838.6,0,138719.49,0,0,0,25959158.09,4,2230.46092148298,11638.4724968597
"129",70386.75,0,0,0,2861,0,26078727.84,0,143531.78,0,0,0,26295507.37,4,2230.46092148298,11789.2706017538
"130",69095.25,0,0,0,2909,0,25980625,0,132651.82,0,0,0,26185281.07,4,2230.46092148298,11739.8519820692
"131",67803.75,0,0,0,2938,0,26045472.64,0,127211.84,0,0,0,26243426.23,4,2230.46092148298,11765.9206566826
"132",65220.75,0,0,0,2942,0,25869220.08,0,136417.96,0,0,0,26073800.79,4,2230.46092148298,11689.8711557179
"133",65866.5,0,0,0,2998,0,25949032.56,0,127630.3,0,0,0,26145527.36,4,2230.46092148298,11722.0288901616
"134",64273.65,0,0,0,2926,0,26347432.23,0,127839.53,0,0,0,26542471.41,4,2230.46092148298,11899.9939224905
"135",62293.35,0,0,0,2926,0,26467671.51,0,128257.99,0,0,0,26661148.85,4,2230.46092148298,11953.2015079079
"136",56180.25,0,0,0,2869,0,26524451.17,0,121562.63,0,0,0,26705063.05,4,2230.46092148298,11972.8899048563
"137",52951.5,0,0,0,2895,0,26584570.81,0,116541.11,0,0,0,26756958.42,4,2230.46092148298,11996.1565622095
"138",54243,0,0,0,2898,0,26651370.41,0,116331.88,0,0,0,26824843.29,4,2230.46092148298,12026.5919172279
"139",52521,0,0,0,2836,0,26905208.89,0,114658.04,0,0,0,27075223.93,4,2230.46092148298,12138.8470289801
"140",52348.8,0,0,0,2922,0,27307676.48,0,120725.71,0,0,0,27483672.99,4,2230.46092148298,12321.9701924778
"141",43911,0,0,0,2918,0,27210817.06,0,118005.72,0,0,0,27375651.78,4,2230.46092148298,12273.5401980495
"142",40811.4,0,0,0,2980,0,27037138.1,0,109008.83,0,0,0,27189938.33,4,2230.46092148298,12190.2778336605
"143",41328,0,0,0,2929,0,26965328.53,0,109218.06,0,0,0,27118803.59,4,2230.46092148298,12158.3854389923
"144",38099.25,0,0,0,2931,0,27142347.47,0,114658.04,0,0,0,27298035.76,4,2230.46092148298,12238.7420003979
"145",38099.25,0,0,0,2885,0,26410891.85,0,115076.5,0,0,0,26566952.6,4,2230.46092148298,11910.9697659873
