"A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
0.81,65.43,12.95,77.99,6.29,2.27,0.81,92.76,181.22,50.47,121.41,210.79,15.66,27.62,27.88,65.48,15.77,124.32,54.59,0.75,84.59,91.95
0.88,67.81,13.2,80.65,6.47,2.31,0.83,93.91,184.11,50.93,122.86,212.04,15.43,28.29,28.31,66.7,15.98,126.37,56.12,0.75,86.21,93.13
0.93,69.06,13.02,81.87,6.51,2.31,0.87,93.42,181.83,50.08,121.86,211.01,15.02,27.77,28.2,67.68,16.05,124.6,56.45,0.75,83.59,91.85
0.93,71.64,13.02,79.82,6.6,2.31,0.86,93.48,182.5,50.52,124.78,209.93,15.85,27.81,28.61,69.37,16.3,127.38,57.48,0.75,84.57,93.78
0.91,72.31,12.52,79.95,6.66,2.29,0.85,93.91,178.19,50.61,122.16,207.86,15.15,27.67,28.86,67.99,15.45,129,55.2,0.75,82.35,92.31
0.91,71.38,12.41,78.24,6.64,2.31,0.84,96.78,180.15,50.99,122.45,206.66,14.8,27.82,29.21,69.23,15.68,128.65,56.41,0.75,81.76,93.27
0.95,75.67,12.6,80.92,6.78,2.36,0.84,97.67,185.06,51.72,127.88,211,15.39,28.83,29.94,69,16.56,133.77,58.85,0.75,83.07,98.25
0.94,74.46,12.63,80.99,6.69,2.36,0.83,96.52,188.64,51.64,126.72,209.8,15.43,28.03,30,69.1,16.65,133.62,59.14,0.75,81.59,97.94
0.9,74.96,12.26,79.28,6.58,2.26,0.84,96.78,187.44,50.38,124.58,210.45,14.75,27.48,29.8,66.4,16.91,133.53,60.28,0.75,80.95,95.83
0.9,74.96,12.03,78.34,6.39,2.18,0.84,96.38,189.77,50.7,125.63,212.92,15.06,27.84,30.14,66.94,16.62,133.79,60.33,0.75,80.72,97.26
0.91,71.78,11.81,76.05,6.43,2.22,0.83,95.63,186.35,51.97,125.95,210.21,15.8,28.15,29.4,67.71,16.77,135.35,61.38,0.75,92.86,97.63
0.89,70.45,11.11,73.15,6.29,2.25,0.83,93.74,186.49,51.81,125.38,211.94,15.53,27.5,28.62,65.83,16.44,134.2,61.96,0.75,91.07,97.23
0.87,65.77,10.62,71.33,6.14,2.19,0.81,92.68,185.62,51.18,125.17,214.53,15.38,27.78,27.84,65.2,16.35,132.26,63.78,0.75,93.54,96.66
0.86,64.94,10.28,70.78,6.17,2.18,0.81,93.34,187.32,51.46,125.46,215.98,15.37,27.32,27.54,64.85,16.16,132.13,62.51,0.75,93.82,97.79
0.86,67.42,10.7,71.78,6.18,2.25,0.81,92.79,188.33,51.29,129.44,213.95,15.48,26.9,27.5,65.25,16.78,133.07,62.85,0.75,93.77,97.68
0.89,65.04,9.95,69.47,6.04,2.25,0.8,89.6,183.91,49.93,128.43,207.18,15.41,26.58,27.09,63.72,16.96,128.58,62.57,0.75,92.75,96.67
0.88,65.19,10.22,70.66,6.14,2.58,0.8,91.04,181.25,50.69,131.3,206.08,15.43,26.67,27.39,63.7,17.54,130.18,63.84,0.75,94.04,98.51
0.83,68.46,10.71,73,6.33,2.62,0.78,92.3,181.25,50.69,131.3,206.08,15.43,26.67,27.39,63.7,17.54,130.18,63.84,0.75,94.04,98.51
0.81,70.28,10.6,73.78,6.41,2.69,0.78,91.76,184.22,51.01,134.34,209,16.32,27.2,28.02,64.63,18.06,131.51,65.62,0.75,94.76,99.91
0.84,71.5,10.74,75.19,6.56,2.88,0.8,91.38,190.06,51.97,134.86,212.74,17.13,27.04,29.33,65.4,17.81,135.03,64.26,0.75,93.78,101.04
0.85,73.28,10.87,75.68,6.63,2.81,0.81,91.61,192.68,52.12,133.02,214.2,17.11,27.44,29.36,65.86,18.28,135.05,66.49,0.75,92.11,101.36
0.89,71.34,10.73,76.26,6.64,2.73,0.8,93.48,190.68,52.04,133.01,213.62,17.12,28.22,29.78,65.84,18.13,135.26,65.69,0.75,93.23,102.12
0.86,72.88,10.89,76.93,6.7,2.8,0.81,95.35,192.27,54.48,134.53,215.01,17.26,28.8,30.08,66.7,17.87,136.62,64.97,0.75,94.82,100.12
0.94,73.06,10.95,81.76,6.68,2.82,0.82,94.2,191.31,54.03,132.88,215.15,17,28.79,30.99,66.71,18.13,135.91,65.24,0.75,94.03,98.67
0.88,70.63,10.52,82.23,6.61,2.78,0.82,93.57,190.02,55.21,132.86,216.63,17.22,28.99,30.72,65.96,18.39,135.15,64.22,0.75,94.63,98.34
0.89,72.79,10.57,83.13,6.73,2.85,0.82,92.42,192.93,57.84,133.99,220.03,17.21,29.13,31.42,70.38,19.04,137.24,69.21,0.75,96.73,99.19
0.93,73.99,10.78,83.19,6.72,2.89,0.82,92.82,192.22,57.62,133.55,217.24,17.48,28.87,31.83,70.55,19,137.11,69.91,0.75,94.61,98.09
1.01,75.61,11,84.66,6.74,2.89,0.82,93.11,192.22,56.99,131.06,215.79,19.38,29.13,31.9,70.59,19.48,136.27,70.31,0.75,96.62,96.49
0.97,80.27,11.75,85.38,6.71,2.9,0.84,93.62,193.88,56.06,132.81,218.13,19.44,29.36,32.32,72.32,19.78,138.24,71.85,0.75,96.97,100.79
1.04,78.76,11.53,83.01,6.63,2.89,0.85,93.77,193.32,56.34,131.47,217.2,19.52,29.05,32.72,71.82,19.42,135.61,71.25,0.75,99.23,101.38
1.09,78.73,11.56,83.07,6.56,3.04,0.85,93.74,192.12,56.69,133.54,218.52,19.47,29.22,32.47,71.84,19.51,135.74,72.22,0.75,101.32,102.8
1.02,79.97,11.49,83.61,6.66,3.07,0.84,94.31,191.07,57.21,133.81,218.72,19.45,30.23,32.34,71.68,20.78,135.28,73.39,0.75,102.9,102.96
1.02,78.37,11.34,82.86,6.57,3.07,0.84,94.02,186.68,57.16,132.28,215.84,19.85,30.58,33.04,71.98,19.92,132.33,73.31,0.75,101.43,102.31
0.97,76.88,11.57,82.6,6.52,3,0.8,95.35,186.86,57.15,130.08,215.34,19.54,30.44,32.73,70.72,20.65,131.4,74.11,0.75,98.8,102.42
1,77.72,11.64,82.82,6.58,2.98,0.8,96.21,186.74,56.98,131.68,216.41,19.54,31.1,32.6,71.12,21.69,131.91,75.66,0.75,98.5,103.7
1.02,76.42,11.37,81.21,6.49,2.9,0.8,97.13,186.75,56.73,131.94,216.56,19.33,30,32.65,70.41,21.44,133.57,73.49,0.75,98.69,103.16
1.05,76.51,12.15,82.98,6.52,2.92,0.8,97.5,189.89,57.06,134.06,217.05,19.53,30.08,32.76,70.68,21.59,135.52,73.73,0.75,100.27,103.8
1.1,78.98,12.51,83.04,6.53,2.9,0.8,96.35,188.57,57.11,132.61,216.6,19.33,29.82,32.88,70.64,21.79,134.21,74.66,0.75,99.56,103.3
1.1,78.42,12.39,84.13,6.53,2.87,0.8,97.79,191.67,56.79,134.33,217.05,18.37,29.86,33.27,70.28,21.61,133.29,73.04,1.25,98.51,103.47
1.1,79.14,12.64,84.48,6.59,2.87,0.8,99.4,191.57,57.5,135.41,218.19,18.5,30.88,33.41,71.12,21.9,133.99,74.94,1.25,99.83,103.99
1.08,78.79,12.43,85.19,6.65,2.98,0.81,99.94,190.91,58.3,137.58,219.25,18.88,31.51,33.72,71.84,22.56,134.12,76.11,1.25,100.03,105.69
