"X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P."
8.55,0,0,0,27.95,0,152.88,0,5.37,0,0,0
7.76,0,0,0,27.94,0,157.12,0,5.26,0,0,0
7.66,0,0,0,27.94,0,156.24,0,5.32,0,0,0
7.5,0,0,0,27.84,0,156.76,0,5.26,0,0,0
7.64,0,0,0,28.15,0,154.05,0,5.01,0,0,0
7.47,0,0,0,28.15,0,154.33,0,5.14,0,0,0
6.75,0,0,0,28.47,0,154.84,0,4.96,0,0,0
6.21,0,0,0,28.47,0,153.65,0,4.89,0,0,0
6,0,0,0,28.47,0,155.99,0,5.07,0,0,0
6,0,0,0,27.97,0,152.53,0,4.84,0,0,0
5.25,0,0,0,27.97,0,153.1,0,4.47,0,0,0
5.62,0,0,0,28.48,0,157.65,0,4.79,0,0,0
6.14,0,0,0,28.48,0,159.39,0,4.94,0,0,0
6.76,0,0,0,29.2,0,165.4,0,4.81,0,0,0
6.8,0,0,0,29.57,0,163.61,0,5.11,0,0,0
6.8,0,0,0,29.57,0,163.61,0,5.11,0,0,0
6.25,0,0,0,29.57,0,165.9,0,4.93,0,0,0
6.05,0,0,0,29.57,0,165.34,0,5.09,0,0,0
6.14,0,0,0,28.33,0,166.01,0,5.09,0,0,0
6.21,0,0,0,28.33,0,165.99,0,5.18,0,0,0
6.23,0,0,0,29.25,0,164.21,0,5.11,0,0,0
6.09,0,0,0,29.25,0,163.73,0,5.17,0,0,0
6.08,0,0,0,29.25,0,163.52,0,5.06,0,0,0
6.02,0,0,0,29.25,0,162.91,0,4.96,0,0,0
6.3,0,0,0,29.25,0,163.09,0,4.94,0,0,0
5.96,0,0,0,30.52,0,163.12,0,5,0,0,0
6.02,0,0,0,30.68,0,164.01,0,4.83,0,0,0
5.92,0,0,0,30.68,0,166.34,0,5.02,0,0,0
5.85,0,0,0,31.07,0,165.39,0,5,0,0,0
5.82,0,0,0,31.13,0,167.66,0,6.09,0,0,0
5.3,0,0,0,31.13,0,166.32,0,6.08,0,0,0
5.55,0,0,0,30.91,0,165.39,0,5.85,0,0,0
5.33,0,0,0,30.64,0,162.97,0,6.21,0,0,0
5.45,0,0,0,30.6,0,163.59,0,6.01,0,0,0
5.25,0,0,0,31.2,0,164.63,0,5.93,0,0,0
5.1,0,0,0,31.2,0,163.93,0,6.04,0,0,0
4.92,0,0,0,30.83,0,162.63,0,5.78,0,0,0
5.15,0,0,0,31.12,0,162.7,0,6.08,0,0,0
5.7,0,0,0,31.36,0,163.62,0,5.94,0,0,0
5.76,0,0,0,31.83,0,163.08,0,5.99,0,0,0
5.96,0,0,0,31.79,0,162.65,0,5.87,0,0,0
5.86,0,0,0,32.1,0,164.65,0,6.04,0,0,0
6.04,0,0,0,32.1,0,166.11,0,5.91,0,0,0
5.85,0,0,0,32.1,0,165.14,0,6.02,0,0,0
5.7,0,0,0,32.1,0,165.51,0,6.18,0,0,0
5.73,0,0,0,32.08,0,165,0,6.56,0,0,0
6.67,0,0,0,31.79,0,164.47,0,6.29,0,0,0
6.38,0,0,0,31.79,0,165.29,0,6.02,0,0,0
6.46,0,0,0,31.34,0,165.27,0,6.13,0,0,0
6.41,0,0,0,31.21,0,165.5,0,5.91,0,0,0
6.58,0,0,0,31.21,0,165.78,0,6.06,0,0,0
6.86,0,0,0,31.26,0,166.37,0,5.99,0,0,0
6.58,0,0,0,31.26,0,166.61,0,5.56,0,0,0
6.53,0,0,0,31.11,0,166.69,0,5.5,0,0,0
6.33,0,0,0,31.11,0,165.59,0,5.52,0,0,0
6.18,0,0,0,31.11,0,166.8,0,5.53,0,0,0
6.2,0,0,0,31.11,0,166.15,0,5.5,0,0,0
6.07,0,0,0,31.11,0,164.05,0,5.42,0,0,0
6.21,0,0,0,30.51,0,164.8,0,5.38,0,0,0
6.15,0,0,0,31.21,0,167,0,5.32,0,0,0
6.15,0,0,0,31.21,0,167,0,5.32,0,0,0
6.08,0,0,0,31.21,0,166.85,0,5.67,0,0,0
6.05,0,0,0,31.21,0,165.99,0,6.02,0,0,0
6.3,0,0,0,31.39,0,165.55,0,5.98,0,0,0
6.4,0,0,0,31.39,0,162.35,0,5.62,0,0,0
6.6,0,0,0,30.44,0,164.87,0,6.01,0,0,0
6.45,0,0,0,30.44,0,161.31,0,5.97,0,0,0
6.45,0,0,0,30.44,0,162.62,0,6.09,0,0,0
6.6,0,0,0,29.32,0,166.47,0,6.23,0,0,0
6.94,0,0,0,29.46,0,164.61,0,6.5,0,0,0
7.12,0,0,0,29.46,0,162.68,0,6.87,0,0,0
7.69,0,0,0,29.46,0,162.85,0,7.27,0,0,0
8.36,0,0,0,29.46,0,165.79,0,7.51,0,0,0
7.83,0,0,0,30.46,0,166.02,0,7.51,0,0,0
7.26,0,0,0,30.17,0,166.63,0,7.33,0,0,0
7.4,0,0,0,30.17,0,165.58,0,7.75,0,0,0
7.41,0,0,0,30.17,0,165.96,0,8.62,0,0,0
7.93,0,0,0,30.62,0,165.3,0,8.58,0,0,0
7.57,0,0,0,30.62,0,163.67,0,8.19,0,0,0
8.7,0,0,0,30.36,0,166.49,0,8.35,0,0,0
9,0,0,0,30.88,0,165.51,0,8.6,0,0,0
8.74,0,0,0,30.88,0,165.85,0,8.65,0,0,0
8.83,0,0,0,30.88,0,168.6,0,9.68,0,0,0
8.94,0,0,0,30.82,0,171.03,0,8.92,0,0,0
8.77,0,0,0,30.72,0,168.84,0,8.67,0,0,0
9.66,0,0,0,31.1,0,171.24,0,8.72,0,0,0
9.59,0,0,0,31.05,0,169.71,0,8.16,0,0,0
11.55,0,0,0,30.81,0,170,0,7.56,0,0,0
12.22,0,0,0,30.81,0,168.94,0,8.09,0,0,0
11.71,0,0,0,30.81,0,169.46,0,7.75,0,0,0
13.35,0,0,0,30.81,0,167.13,0,7.66,0,0,0
16.2,0,0,0,31.71,0,167.2,0,7.76,0,0,0
15.75,0,0,0,32.05,0,167.35,0,7.61,0,0,0
16.05,0,0,0,32.11,0,166.97,0,7.91,0,0,0
16.65,0,0,0,32.11,0,167.41,0,7.91,0,0,0
16.8,0,0,0,32.11,0,169.57,0,7.73,0,0,0
16.05,0,0,0,32.5,0,168.14,0,7.51,0,0,0
16.35,0,0,0,32.04,0,166.51,0,7.06,0,0,0
