"U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P."
26.1,57.16,95.27,35.37,11.88,18.65,0,22.52
26.28,57.95,96.8,35.38,11.84,18.83,0,22.67
26.08,58,95.57,35.31,11.75,18.7,0,22.5
26.13,58.02,95.75,35.36,11.65,18.51,0,22.43
25.98,57.04,94.18,34.95,11.62,17.96,0,22.12
26.07,57.75,94.18,34.83,11.51,17.99,0,22.35
26.17,57.88,94.55,35.09,11.46,17.86,0,21.9
26.4,58.63,98.23,35.19,11.41,17.6,0,22.21
25.94,57.59,96.52,35.05,11.38,17,0,21.87
25.77,56.74,87.53,35.01,10.87,17.11,0,21.33
26.41,59.08,88.04,35.1,10.51,17.3,0,21.66
27.18,58.89,87.86,35.82,10.26,17.59,0,22.32
28,59.48,86.67,36.1,10.28,17.75,0,22.2
28.32,59.71,87.84,36.05,10.36,18.35,0,22.56
27.87,58.59,85.3,35.2,10.23,18.22,0,22.05
27.5,58,84.98,34.82,11.95,18.69,0,22.25
27.37,57.04,84.51,34.72,11.81,18.78,0,21.69
27.83,58.95,86.87,35.02,11.64,18.61,0,22.02
27.71,58.15,86.57,34.87,11.95,18.67,0,22.24
28.03,59.8,90.44,35.47,11.93,18.82,0,22.25
28.43,60.59,92.35,35.89,12.27,18.56,0,22.77
28.97,61.71,97.38,36.33,12.26,18.65,0,22.73
28.71,62.67,98.1,36.6,12.75,18.67,0,23.14
28.47,62.42,101.32,36.58,12.85,18.95,0,23.16
28.47,62.42,101.32,36.58,12.85,18.95,0,23.16
28.67,62.84,101.55,36.96,12.94,19.28,0,23.58
28.73,62.55,102,36.91,12.57,19.22,0,23.21
28.87,62.15,99.79,37.14,12.67,19.27,0,23.38
28.71,62.67,101.99,37.1,12.42,18.84,0,22.92
28.52,62.18,99.27,36.76,12.22,18.7,0,22.53
29.01,60.99,98.64,36.38,12.29,18.9,0,22.95
28.97,61.12,98.37,36.75,12.65,19.24,0,23.38
29.63,62.47,102.18,36.9,12.67,19.63,0,23.18
29.95,62.68,101.99,37.49,12.77,20.28,0,23.17
28.65,54.67,90.72,36.24,12.77,21,0,23.1
29.27,55.34,91.88,35.83,12.7,21.46,0,23.52
29.19,56.13,91.5,35.58,12.54,20.81,0,23.08
29.79,57.85,93.5,35.87,12.51,21.04,0,23.19
29.72,57.71,92.16,35.7,12.47,20.76,0,22.97
28.97,56.19,90.88,35.2,12.62,20.71,0,22.72
28.86,57.01,91.9,35.12,12.88,20.84,0,22.73
28.59,54.7,90.12,33.99,12.49,20.78,0,23.08
28.63,54.26,88.31,33.92,12.54,20.69,0,23.09
29.28,54.52,89.27,34.01,12.47,20.73,0,23.75
29.33,54.22,88.25,34,12.47,20.64,0,23.77
29.36,54.25,88.34,33.78,12.47,20.49,0,23.64
29.36,54.25,88.34,33.78,12.47,20.49,0,23.64
29.01,54.19,88.24,33.86,12.49,20.32,0,23.36
28.72,53.87,87.08,33.85,12.34,20.18,0,23.19
28.5,54.06,87.17,33.85,12.27,20.28,0,23.13
28.83,53.41,86.51,33.84,12.11,20.17,0,23.19
28.83,53.41,86.51,33.84,12.11,20.17,0,23.19
29.48,53.33,87.46,34.04,12.29,20.41,0,23.85
29.46,54.98,90.28,34.45,12.22,20.82,0,24.41
29.37,55.08,91.44,34.86,11.78,20.88,0,23.88
29.52,55.47,92.43,34.71,11.76,20.24,0,23.93
29.16,55.71,92.75,34.73,11.45,19.64,0,23.34
29.62,56.61,94.83,35.08,11.56,19.6,0,23.5
29.03,55.69,92.93,34.88,11.62,19.45,0,23.56
28.63,55.46,91.94,34.85,11.54,19.64,0,23.01
28.62,55.28,90.53,34.75,11.75,19.61,0,23.03
28.62,55.28,90.53,34.75,11.75,19.61,0,23.03
28.66,55.99,92.34,34.6,11.38,19.59,0,23.17
