"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P."
6.87,121.78,89.12,115.32,4.49,24.73,0,1.72,92.01,45.93,236.88,25.82,67.7,28.46,6.88,11.47,0,4.93,10.46,140.28,38.93,90.38,175.58
6.91,119.76,88.09,114.32,4.52,24.31,0,1.71,91.62,45.21,237.53,26.18,69.05,28.39,6.7,11.45,0,4.92,10.71,140.5,39.01,91.81,180.05
6.86,121.55,89.98,116.65,4.58,24.6,0,1.77,93.24,46.01,237.52,26.45,68.05,28.26,6.8,11.33,0,4.81,10.59,142.06,39.16,92.46,184.02
6.81,122.07,89.38,118.15,4.81,24.81,0,1.76,94.87,46.48,233.89,26.51,66.94,28.78,6.86,11.3,0,4.77,10.67,141.9,38.96,92.5,185.6
6.79,121.14,89.51,118.49,4.92,24.9,0,1.71,94.71,46.66,241.55,26.58,65.82,29.1,7.04,11.22,0,4.84,10.54,144.13,38.31,92.8,181.7
6.82,120.22,88.89,117.8,4.98,25.02,0,1.7,91.7,46.82,238.1,26.33,65.51,28.71,7.27,11.45,0,4.83,10.53,144.54,38.13,93.19,185.18
6.95,120.22,88.87,117.34,5.03,24.69,0,1.72,92.08,46.78,239.09,26.56,66.97,29.15,7.21,11.47,0,4.95,10.66,146.84,39.13,94.43,191.28
6.68,123.57,91.14,117.68,5.01,24.54,0,1.77,91.46,46.74,235.38,27.18,66.66,29.72,7.39,11.59,0,4.87,10.86,147.04,39.08,93.46,190.45
6.75,124.03,90.61,117.28,5.02,24.53,0,1.79,91.85,46.23,241.61,27.5,68.42,30.07,7.47,11.58,0,4.95,10.88,147.2,39.09,93.52,188.26
6.74,125.35,90.05,117.11,5.02,24.64,0,1.74,92.55,47.13,244.22,27.57,68.19,29.9,7.48,12.04,0,4.95,10.75,149.42,39.01,94.83,187.77
6.8,126.22,91.96,119.93,5.03,24.82,0,1.72,94.71,47.81,244.72,27.43,68.45,29.71,7.45,11.91,0,5.02,10.73,150.11,38.65,95.52,188.03
6.91,124.66,90.92,115.3,4.99,24.55,0,1.68,94.71,47.81,252.73,27.81,68.22,29.44,7.45,11.91,0,5.02,10.79,149.9,38.6,95.31,184.35
6.91,124.66,90.92,115.3,4.99,24.55,0,1.68,94.71,47.81,255.15,28.38,69.44,29.52,7.45,11.91,0,5.02,10.79,149.9,38.6,95.31,184.35
6.91,124.66,90.92,115.3,4.99,24.55,0,1.68,94.71,47.81,259.94,29.25,70.87,29.94,7.38,11.84,0,5.1,10.87,149.41,38.62,95.4,189.4
6.85,126.68,91.48,114.57,4.99,24.64,0,1.68,94.87,47.96,258.41,29.16,68.76,29.25,7.29,11.76,0,5.11,10.99,149.71,39.39,96.11,191.71
6.95,128.35,93.14,115.61,5.09,24.9,0,1.7,97.35,48.7,258.98,29.29,70.2,29.93,7.25,11.77,0,5.06,11.16,151.6,39.41,96.07,183.21
7.05,125.99,91.85,113.01,5.07,24.71,0,1.7,96.57,48.91,257.92,29.28,69.57,29.89,7.13,11.8,0,4.97,10.96,151.09,39.39,96.18,185.07
6.9,125.87,90.88,110.81,5.02,24.78,0,1.72,95.95,48.1,255.26,29.15,68.6,29.93,7.12,11.77,0,4.98,11.03,152.68,39.67,96.95,183.19
6.79,127.72,91.37,112.43,5.07,24.86,0,1.72,97.42,48.13,255.26,29.15,68.6,29.93,7.28,11.76,0,4.91,11.04,151.47,39.32,96.01,179.42
6.8,125.7,91.1,111.86,5,24.69,0,1.71,96.34,47.45,255.71,29.25,69.12,30.32,6.98,11.82,0,4.96,11.05,151.36,39.26,93.98,182.29
6.64,124.89,91.22,111.79,5,25.03,0,1.7,97.35,46.8,267.89,29.78,71.11,30.36,6.83,11.73,0,4.91,10.89,160.34,39.28,93.99,179.18
6.72,123.51,90.92,111.18,4.97,25.09,0,1.72,96.26,46.74,264.66,28.94,67.77,29.74,6.71,11.7,0,4.91,10.92,157.37,38.22,92.3,173.79
6.66,123.22,91.13,111.79,5.05,25.11,0,1.72,96.88,47.25,260.23,28.38,66.45,29.32,6.72,11.71,0,4.91,10.83,159.01,38.5,93.12,176.62
6.53,122.3,90.43,111.43,4.96,24.92,0,1.72,95.1,46.66,253.84,28.37,66.77,29.96,6.45,11.15,0,4.81,10.72,157.47,38.02,92.85,176.76
6.58,122.47,90.94,112.23,4.9,25.01,0,1.73,95.72,46.66,255.09,28.33,67.33,30.04,6.63,11.35,0,4.85,10.9,156.95,38.4,92.87,178.77
