"","A:TWEX(FFNOSH)","B:ABI(FFNOSH)","H:HB(FFNOSH)","F:RCD(FFNOSH)","I:CPR(FFNOSH)","DGE(FFNOSH)","K:BBCA(FFNOSH)","K:CHRE(FFNOSH)","DK:CAB(FFNOSH)","DK:RBR(FFNOSH)","CN:KCM(FFNOSH)","CN:YWU(FFNOSH)","CN:JYB(FFNOSH)","CN:TTB(FFNOSH)","IN:MLC(FFNOSH)","IN:UBB(FFNOSH)","MX:BEC(FFNOSH)","BR:AVS(FFNOSH)","CL:CVZ(FFNOSH)","U:STZ(FFNOSH)","U:BF.B(FFNOSH)","U:TAP(FFNOSH)","U:SAM(FFNOSH)"
"02/05/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/08/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/09/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/10/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/11/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/12/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/15/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/16/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/17/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/18/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/19/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/22/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/23/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/24/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/25/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/26/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"02/29/16","641554","814809","215771","182070","569184","2369433","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4434474","27674","165948","288796","171681","7631"
"03/01/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/02/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/03/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/04/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/07/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/08/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/09/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/10/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
