"X.AMRS.PB.","X.GRWG.PB.","U.YOLO.PB.","U.CNBS.PB.","U.MJ.PB.","X.POTX.PB.","U.STZ.PB.","U.IIPR.PB.","X.CARA.PB.","X.TLRY.PB.","X.SNDL.PB.","X.CNTTQ.PB."
10.07,1.19,0,0,24.6,0,150.47,18.59,11.88,0,0,0
9.6,1.24,0,0,24.5,0,149.59,19.05,11.59,0,0,0
9.88,1.28,0,0,24.87,0,150.08,18.86,11.43,0,0,0
9.5,1.33,0,0,25.35,0,151.58,18.81,11.94,0,0,0
9.02,1.38,0,0,25.5,0,153.05,18.7,12.22,0,0,0
9.18,1.43,0,0,25.73,0,154.09,18.8,12.92,0,0,0
9.35,1.48,0,0,25.5,0,149.98,18.7,13.73,0,0,0
9.3,1.54,0,0,25.6,0,148.92,18.76,13.87,0,0,0
8.93,1.59,0,0,25.6,0,148.33,18.8,14.16,0,0,0
7.92,1.64,0,0,25.67,0,149.77,18.51,15.3,0,0,0
7.95,1.7,0,0,25.84,0,149.86,18.2,16.48,0,0,0
6.75,1.75,0,0,26.23,0,149.27,17.9,15.83,0,0,0
7.36,1.81,0,0,26.6,0,149.08,18.02,16.64,0,0,0
7.6,1.87,0,0,26.46,0,149.78,17.98,16.39,0,0,0
7.62,1.92,0,0,26.46,0,152,17.93,16.29,0,0,0
7.65,1.98,0,0,26.63,0,154.58,18,16.46,0,0,0
7.6,2.04,0,0,26.87,0,155.68,17.95,16.32,0,0,0
7.95,2.1,0,0,27.38,0,155.45,18.02,14.83,0,0,0
8.47,2.16,0,0,27.5,0,155.49,17.95,13.5,0,0,0
8.41,2.22,0,0,27.16,0,155.88,17.78,15.53,0,0,0
7.83,2.29,0,0,27.41,0,156.18,17.79,15.08,0,0,0
8.19,2.35,0,0,27.5,0,158.49,17.56,14.51,0,0,0
8.31,2.41,0,0,27.24,0,161.31,17.75,14.75,0,0,0
8.42,2.48,0,0,27.41,0,160.67,17.63,14.83,0,0,0
8.27,2.54,0,0,27.75,0,160.07,17.5,14.69,0,0,0
7.8,2.61,0,0,27.8,0,160.17,17.79,14.54,0,0,0
7.96,2.68,0,0,27.65,0,153.54,17.81,14.54,0,0,0
7.83,2.75,0,0,27.5,0,158.85,17.05,15.03,0,0,0
8.03,2.81,0,0,27.5,0,157.74,16.85,16.2,0,0,0
7.65,2.88,0,0,27.16,0,158.8,16.4,16.02,0,0,0
7.53,2.95,0,0,27.71,0,159.62,16.16,16.58,0,0,0
7.97,3.02,0,0,27.18,0,158.4,16.4,16.75,0,0,0
7.08,3.1,0,0,27.73,0,158.75,16.25,18.04,0,0,0
6.94,3.17,0,0,27.72,0,157.79,16.15,17.9,0,0,0
6.6,3.24,0,0,27.74,0,157.17,15.85,16.98,0,0,0
6.49,3.31,0,0,27.26,0,156.42,15.58,17.4,0,0,0
