"X.AMRS.PA.","X.GRWG.PA.","U.YOLO.PA.","U.CNBS.PA.","U.MJ.PA.","X.POTX.PA.","U.STZ.PA.","U.IIPR.PA.","X.CARA.PA.","X.TLRY.PA.","X.SNDL.PA.","X.CNTTQ.PA."
7.84,4.96,0,0,28.82,0,162.1,17.18,18.32,0,0,0
7.8,5.06,0,0,29.25,0,161.67,17.38,17.93,0,0,0
7.38,5.15,0,0,29.23,0,161.51,17.7,17.43,0,0,0
6.6,5.24,0,0,29.37,0,161.4,17.85,17.6,0,0,0
7.13,5.33,0,0,29.26,0,171.75,18.18,18.65,0,0,0
7.52,5.43,0,0,29.41,0,170.39,18.11,18.21,0,0,0
7.29,5.52,0,0,29.47,0,171.29,18.1,18.58,0,0,0
7.24,5.62,0,0,29.47,0,170.36,18.2,18.89,0,0,0
8.76,5.71,0,0,29.25,0,169.96,18.25,18.17,0,0,0
10.2,5.81,0,0,29.25,0,168.98,18.25,17.55,0,0,0
10.96,5.91,0,0,29.56,0,168.76,18.4,17.23,0,0,0
10.52,6.01,0,0,29.83,0,170.12,18.4,17.01,0,0,0
9,6.1,0,0,29.68,0,172.19,18.13,16.91,0,0,0
8.34,6.2,0,0,29.31,0,171.94,18.25,17.26,0,0,0
7.55,6.3,0,0,29.39,0,172.95,18.24,17.09,0,0,0
8.01,6.4,0,0,29.34,0,172.1,18.44,16.53,0,0,0
7.66,6.51,0,0,29.7,0,173.04,17.57,16.61,0,0,0
7.76,6.61,0,0,29.73,0,172.58,17.91,16.39,0,0,0
8.36,6.71,0,0,29.28,0,170.47,17.81,15.96,0,0,0
8.25,6.81,0,0,29.32,0,171.09,17.95,15.96,0,0,0
8.12,6.92,0,0,29.57,0,172.58,18,15.89,0,0,0
7.87,7.02,0,0,29.71,0,172.13,17.7,15.68,0,0,0
7.99,7.13,0,0,30.11,0,174.61,17.4,14.92,0,0,0
8.1,7.23,0,0,30.11,0,173.77,16.91,15.93,0,0,0
7.87,7.34,0,0,29.67,0,177.24,17.15,14.94,0,0,0
8.07,7.44,0,0,30.03,0,178.53,16.99,14.69,0,0,0
5.04,7.55,0,0,29.93,0,179.52,17.52,14.51,0,0,0
4.88,7.66,0,0,30.06,0,177.78,17.9,15.2,0,0,0
5.07,7.77,0,0,30.49,0,177.57,17.77,15.37,0,0,0
4.94,7.88,0,0,30.61,0,178.31,17.9,16.01,0,0,0
4.85,7.99,0,0,30.76,0,178.56,18.02,17.19,0,0,0
4.8,8.1,0,0,31.02,0,180.27,17.63,16.62,0,0,0
4.35,8.21,0,0,31.17,0,182.21,17.94,16.81,0,0,0
3.9,8.32,0,0,30.69,0,180.72,17.62,15.59,0,0,0
4.44,8.43,0,0,28.45,0,180.84,17.67,16.85,0,0,0
4.3,8.54,0,0,29.52,0,182.9,17.86,16.83,0,0,0
4.34,8.66,0,0,29.17,0,184.09,17.51,17.6,0,0,0
