"A.ASBX.PA.","D.RHM.PA.","I.LDO.PA.","F.CSF.PA.","BA..PA.","RR..PA.","TK.ASE.PA.","IS.ESLT.PA.","U.NOC.PA.","U.RTX.PA.","U.HII.PA.","U.LMT.PA.","X.AXON.PA.","X.MANT.PA.","U.BWXT.PA.","U.CW.PA.","X.SWBI.PA.","U.GD.PA.","U.RGR.PA.","X.POWW.PA.","U.CACI.PA.","X.HON.PA."
1.05,79.67,12.62,87.37,6.62,2.87,0.95,107.87,201.14,61.74,143.13,226.38,19.52,31.78,33.05,76.89,17.4,134.36,66.55,3.56,106.35,109.24
1.07,79.8,12.54,87.52,6.71,2.86,0.94,107.98,200.09,61.75,143.59,225.4,19.32,31.56,32.91,75.97,17.41,133.57,67.25,3.55,106.27,109.01
1.07,78.14,12.54,87.84,6.72,2.83,0.94,108.73,201.85,61.66,142.99,225.8,19.14,31.39,32.95,76.68,16.87,134.82,64.83,3.53,106.11,109.12
1.13,79.14,12.77,87.85,6.71,2.83,0.93,109.53,202.77,62,143.91,227.11,18.49,32.07,33.12,77.46,17.14,136.32,65.95,3.52,108.49,109.97
1.15,79.93,12.75,88.66,6.8,2.96,0.93,110.88,201.65,61.93,144.57,226.51,18.64,32.42,33.17,77.36,17.1,136.76,66.15,3.5,108.52,110.25
1.19,78.93,12.73,87.25,6.71,2.91,0.93,108.27,201.56,62.26,144.05,226.62,18.54,32.02,33.24,77.79,17.09,136.72,66.19,3.49,109.23,109.64
1.15,78.79,12.63,87.25,6.55,2.94,0.92,106.32,200.06,62.18,143.82,226.14,18.67,31.99,33.23,76.9,16.8,137.73,65.32,3.47,108.06,109.43
1.15,78.64,12.64,87.39,6.43,2.91,0.93,107.98,200.83,62.34,144.21,226.82,18.67,32.17,33.31,77.71,17.2,137.89,67.35,3.46,109.35,108.67
1.16,79.3,12.7,87.91,6.43,2.86,0.92,106.86,200.79,62.04,143.02,226.25,18.14,32.47,32.5,76.49,17.04,136.78,66.21,3.45,109.16,107.82
1.15,79.7,12.75,88.22,6.36,2.85,0.92,109.56,203.51,61.8,144.33,232.14,18.43,33.01,33.04,77.85,17.19,138.73,66.93,3.44,108.56,109.33
1.15,80.73,13.09,89.05,6.41,2.86,0.94,107.52,207.11,62.5,146.47,233.73,18.6,32.84,33.78,78.45,17.27,143.64,66.81,3.42,110.4,109.92
1.18,80.72,13.12,88.52,6.36,2.98,0.94,106.61,205.59,61.54,145.14,232.68,18.11,36.33,33.57,77.35,16.85,141.16,64.25,3.41,98.09,109.11
1.15,79.11,12.73,87.07,6.27,2.88,0.93,107.26,206.26,61.57,144.84,232.5,18.27,34.01,33.39,76.59,16.77,140.52,64.07,3.4,96.15,108.82
1.15,77.64,12.71,86.82,6.24,2.78,0.92,106.92,208.34,61.56,146.05,233.22,18.54,34.8,33.27,78.21,17.54,141.83,67.54,3.39,97.49,109.17
1.11,75.83,12.57,87.68,6.25,2.76,0.91,104.94,209.62,60.25,145.95,234.7,17.81,34.32,33.7,76.46,17.8,142.41,68.62,3.38,95.29,109.03
1.1,75.27,12.72,87.74,6.29,2.77,0.88,106.09,210.58,59.37,145.13,236.01,17.67,33.72,32.86,76.31,17.41,141.45,66.24,3.37,93.15,107.53
1.12,76.21,12.36,86.78,6.32,2.71,0.88,104.88,211.91,59.15,151.28,238.15,18.32,33.84,32.79,79.7,17.57,142.2,67.2,3.36,93.5,108.15
1.08,76.37,11.98,87.07,6.42,2.78,0.91,105.83,214.18,59.66,155.19,240.32,18.14,34.53,33.06,79.95,17.03,143.46,65.73,3.35,95.24,108.32
1.06,76.27,11.83,87.98,6.45,2.76,0.92,105.94,214.71,59.04,154.41,240.42,18.56,34.23,33.36,79.77,17.75,142.95,66.94,3.35,94.89,107.76
1.1,76.77,11.97,88.27,6.45,2.79,0.92,106.26,217.4,60.27,156.13,244.41,19.41,34.77,34.16,81,17.73,145.74,66.95,3.34,95.79,109.44
1.08,76.53,12.43,88.52,6.44,2.83,0.93,105.58,214.39,59.94,153.67,241.88,19.8,34.33,34.13,80.65,17.48,144.95,65.58,3.33,94.31,108.62
1.08,70.69,12.35,88.58,6.41,2.77,0.94,104.16,217.9,59.88,153.61,245.02,19.71,34.48,34.47,81.52,17.55,145.35,65.99,3.32,94.94,108.73
1.08,68.77,12.34,88.65,6.41,2.79,0.93,102.93,213.96,59.13,152.24,242.14,19.38,34.38,33.81,80.1,17.46,144.37,65.04,3.32,94.11,107.8
1.09,68.52,12.33,89.3,6.44,2.85,0.91,101.89,215.82,60.04,154.26,243.03,19.37,35.14,34.55,81.51,17.72,145.33,66.47,3.31,95.25,109.31
1.04,68.27,12.07,88.32,6.39,2.86,0.91,99.91,213.57,59.01,153.96,241.52,20.71,33.98,34.14,81.41,17.36,145.01,64.61,3.3,92.42,108.16
1.05,67.94,12.19,87.92,6.33,2.82,0.89,101.66,214.19,58.55,154.33,241.55,20.78,34.2,34.29,81.72,17.24,144.3,64.46,3.3,92.18,107.28
1.05,68.46,12.18,87.9,6.28,2.73,0.88,102.04,211.01,58.1,154.12,238.89,21.13,33.7,34.15,80.91,17.58,143.59,64.9,3.3,91.93,106.92
1.05,69.48,12.35,89.12,6.35,2.76,0.88,101.52,212.72,58.46,154.49,240.11,21.71,34.21,34.87,81.4,17.78,144.62,65.77,3.3,93.17,107.8
1.01,69.03,12.18,88.88,6.31,2.73,0.9,103.67,212.19,58.34,154.19,239.61,21.45,34.03,34.58,80.84,17.73,142.38,65.52,3.3,93.06,107.43
