"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
6.66,133.6,92.28,124.49,4.65,24.77,0,1.45,89.07,44.57,208.72,24.64,61.31,28.65,7.13,11.11,0,4.93,11.33,152.41,39.11,90.47,179.22
6.69,133.94,92.79,125.35,4.62,25.1,0,1.49,90.38,45.08,209.59,25.04,61.13,28.06,6.98,11.08,0,4.86,11.79,154.38,38.51,91.92,178.8
6.66,133.54,92.22,123.51,4.61,25.03,0,1.48,89.45,44.87,213.04,25.24,62.08,28.39,7.01,11.57,0,4.75,10.82,152.55,38.32,91.56,175.04
6.47,129.56,92.23,122.18,4.51,24.56,0,1.48,87.67,44.34,211.95,25.3,62.18,27.89,7.19,11.35,0,4.78,10.74,150.35,38.54,89.96,180.35
6.63,126.91,88.81,119.88,4.31,24.01,0,1.43,88.14,43.61,213.5,25.33,62.01,28.16,7.03,11.58,0,4.87,10.44,146.81,38.51,87.63,178.42
6.5,123.74,87.02,116.65,4.28,23.6,0,1.45,88.83,42.22,212.47,24.67,62.4,28.02,7.55,11.63,0,4.79,10.16,137.95,38.57,86.95,179.22
6.42,118.84,86.34,115.67,4.08,23.41,0,1.46,84.96,39.99,210.05,23.18,62.3,27.65,7.45,11.62,0,4.74,10.16,134.99,37.72,83.94,184.82
6.32,119.01,86.71,113.43,4.14,23.43,0,1.45,84.81,39.08,207.59,23.47,61.69,27.29,7.13,11.62,0,4.74,9.84,136.1,38.36,83.87,180.42
6.25,119.93,84.03,114.9,4.24,23.41,0,1.44,88.6,40.15,205.65,24.11,60.91,27.04,6.94,11.61,0,4.74,10.09,138.83,38.1,84.2,177.62
6.39,116.24,81.97,107.17,4,22.92,0,1.44,89.22,40.93,204.81,24.96,60.31,26.97,6.61,11.49,0,4.72,10.1,135.65,38.22,83.66,179.57
6.28,117.97,82.43,107.62,4.06,23.1,0,1.47,91.39,40.5,205.64,25,60.23,27.17,6.62,11.48,0,4.74,10.16,138.01,38.8,84.14,185.1
6.35,121.14,84.71,110.12,4.13,23.78,0,1.49,94.48,42,208.72,24.24,61.02,27.7,6.77,11.43,0,4.73,10.1,138.77,39.04,84.06,184.88
6.39,120.39,84.56,108.39,4.03,23.79,0,1.52,93.48,42.23,212.43,25.04,62.42,28.39,6.6,11.23,0,4.75,10.1,139.35,39.28,84.65,184.58
6.45,122.24,85.57,111.63,4.13,24.07,0,1.56,94.17,42.56,210.73,24.94,62.33,28.44,6.62,11.54,0,4.85,10,142,39.93,86.22,188.65
6.69,121.66,85.18,111.48,4.09,23.98,0,1.57,94.48,42.95,209.99,24.43,61.14,28.47,6.49,11.43,0,4.86,10.82,140.33,40.48,84.74,184.36
6.95,120.86,85.09,111.75,4.13,24.02,0,1.55,93.48,42.84,211.38,24.27,61.33,28.41,6.9,11.61,0,4.84,10.16,139.55,40.8,85.55,181.22
6.95,122.59,86.18,113.71,4.19,24.42,0,1.55,93.94,43.67,216.46,24.84,62.42,29,7.11,11.52,0,4.91,10.11,140.59,41.12,86.81,192.44
7,122.24,86.06,114.16,4.18,24.49,0,1.54,94.33,43.49,221.17,25.01,64.05,29.13,7.3,11.36,0,4.82,10.03,139.49,41.1,85.6,190.95
6.88,119.7,84.62,111.98,4.13,24.54,0,1.54,89.99,43.26,226.93,25.2,63.63,29.2,7.39,11.29,0,4.81,9.73,139.1,40.96,86.15,190.42
