"BATS.EPS.","ID.GUD.EPS.","X.IMBBY.EPS.","U.VGR.EPS.","U.STZ.EPS.","U.TPB.EPS.","U.RLX.EPS.","U.PM.EPS."
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.48,6.75,1.49,0,4.52
3.29,0.25,2.73,0.32,6.75,1.49,0,4.52
3.29,0.25,2.73,0.32,6.75,1.49,0,4.52
3.29,0.25,2.73,0.32,6.75,1.49,0,4.52
3.29,0.25,2.73,0.32,6.75,1.49,0,4.52
3.29,0.25,2.73,0.32,6.75,1.49,0,4.52
3.29,0.25,2.73,0.32,6.75,1.49,0,4.52
3.29,0.25,2.73,0.32,6.75,1.49,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,6.75,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.29,0.25,2.73,0.32,7.23,1.46,0,4.52
3.05,0.25,2.73,0.32,7.23,1.46,0,4.52
3.05,0.25,2.73,0.32,7.23,1.46,0,4.52
3.05,0.26,2.73,0.32,7.23,1.46,0,4.52
3.05,0.26,2.73,0.32,7.23,1.46,0,4.52
3.05,0.26,2.73,0.32,7.23,1.46,0,4.52
3.05,0.26,2.73,0.32,7.23,1.46,0,4.52
3.05,0.26,2.73,0.32,7.23,1.46,0,4.52
3.05,0.26,2.73,0.32,7.23,1.46,0,4.52
