"","A:ASBX(P)","A:ASBX(EPS)","A:ASBX(PA)","A:ASBX(PB)","D:RHM(P)","D:RHM(EPS)","D:RHM(PA)","D:RHM(PB)","I:LDO(P)","I:LDO(EPS)","I:LDO(PA)","I:LDO(PB)","F:CSF(P)","F:CSF(EPS)","F:CSF(PA)","F:CSF(PB)","BA.(P)","BA.(EPS)","BA.(PA)","BA.(PB)","IS:ESLT(P)","IS:ESLT(EPS)","IS:ESLT(PA)","IS:ESLT(PB)","RR.(P)","RR.(EPS)","RR.(PA)","RR.(PB)","TK:ASE(P)","TK:ASE(EPS)","TK:ASE(PA)","TK:ASE(PB)"
"61",0.77,0.12,0.78,0.76,64.1,3.09,64.64,64.18,12.7,0.3,12.71,12.7,77.07,2.99,77.08,77.07,643.6,49.12,643.6,643.34,429.64,5.49,430.82,429.64,225.81,24.4,226.02,225.81,0.83,0,0.83,0.83
"62",0.81,0.12,0.82,0.79,65.43,3.09,65.4,64.94,12.95,0.3,12.95,12.94,77.99,2.99,78.24,77.98,629.42,49.12,629.55,629.42,424.25,5.49,426.09,424.25,227.3,24.4,227.3,227.09,0.81,0,0.81,0.81
"63",0.88,0.12,0.89,0.84,67.81,3.09,68.61,68.04,13.2,0.3,13.2,13.19,80.65,2.99,80.65,80.57,647.15,49.12,647.15,647.02,429.51,5.49,429.64,429.51,230.91,24.4,231.13,230.91,0.83,0,0.83,0.83
"64",0.93,0.12,0.94,0.93,69.06,3.09,69.68,69.1,13.02,0.3,13.02,13.01,81.87,2.99,81.87,81.84,651.22,49.12,651.35,651.22,427.27,5.49,427.93,427.27,231.34,24.4,231.34,231.13,0.87,0,0.87,0.87
"65",0.93,0.12,0.94,0.93,71.64,3.09,71.55,70.97,13.02,0.3,13.02,13.01,79.82,2.99,79.92,79.8,660.02,49.12,660.68,660.02,427.54,5.49,427.93,427.54,231.13,24.4,231.13,230.91,0.86,0,0.86,0.86
"66",0.91,0.12,0.92,0.89,72.31,3.09,72.66,72.08,12.52,0.3,12.52,12.51,79.95,2.99,79.95,79.89,665.93,49.12,665.93,665.27,429.51,5.49,430.29,429.51,229.42,24.4,229.42,229.21,0.85,0,0.85,0.85
"67",0.91,0.12,0.91,0.89,71.38,3.09,71.95,71.37,12.41,0.3,12.42,12.41,78.24,2.99,78.24,78.23,663.96,49.12,663.96,663.3,442.64,5.49,442.64,441.33,230.7,24.4,230.7,230.49,0.84,0,0.84,0.84
"68",0.95,0.12,0.97,0.93,75.67,3.09,75.78,75.21,12.6,0.3,12.62,12.6,80.92,2.99,80.93,80.92,677.75,49.12,678.41,677.75,446.71,5.49,446.58,446.45,236.02,24.4,236.02,235.81,0.84,0,0.84,0.84
"69",0.94,0.12,0.95,0.94,74.46,3.09,74.97,74.4,12.63,0.3,12.65,12.63,80.99,2.99,81.02,80.99,668.56,49.12,669.22,668.56,441.46,5.49,441.72,441.46,236.02,24.4,236.02,235.81,0.83,0,0.83,0.83
"70",0.9,0.12,0.91,0.9,74.96,3.09,75,74.42,12.26,0.3,12.27,12.26,79.28,2.99,79.34,79.28,658.05,49.12,658.05,657.39,442.64,5.49,443.03,442.64,226.02,24.4,226.23,226.02,0.84,0,0.84,0.84
"71",0.9,0.12,0.9,0.88,74.96,3.09,75.3,74.84,12.03,0.3,12.04,12.03,78.34,2.99,78.35,78.26,638.74,49.12,638.74,638.61,440.8,5.49,441.46,440.8,218.15,24.4,218.37,218.15,0.84,0,0.84,0.84
"72",0.91,0.12,0.91,0.89,71.78,3.09,71.66,71.08,11.81,0.3,11.82,11.81,76.05,2.99,76.08,75.94,643.34,49.12,643.34,643.21,437.39,5.49,438.7,437.39,222.41,24.4,222.41,222.2,0.83,0,0.83,0.83
"73",0.89,0.12,0.9,0.87,70.45,3.09,70.59,69.89,11.11,0.3,11.12,11.11,73.15,2.99,73.18,73.15,629.15,49.12,629.29,629.15,428.72,5.49,429.37,428.32,224.96,24.4,224.96,224.75,0.83,0,0.83,0.83
"74",0.87,0.12,0.88,0.86,65.77,3.09,65.57,65,10.62,0.3,10.64,10.61,71.33,2.99,71.33,71.31,614.05,49.12,614.05,613.92,423.86,5.49,424.25,423.86,219.01,24.4,219.22,219.01,0.81,0,0.81,0.81
"75",0.86,0.12,0.89,0.84,64.94,3.09,65.23,64.76,10.28,0.3,10.28,10.27,70.78,2.99,70.83,70.69,617.2,49.12,617.2,617.07,426.88,5.49,426.75,426.62,217.94,24.4,217.94,217.73,0.81,0,0.81,0.81
"76",0.86,0.12,0.87,0.86,67.42,3.09,67.31,66.85,10.7,0.3,10.7,10.69,71.78,2.99,71.86,71.78,617.99,49.12,618.12,617.99,424.38,5.49,424.65,424.38,224.54,24.4,224.54,224.33,0.81,0,0.81,0.81
"77",0.89,0.12,0.89,0.88,65.04,3.09,65.06,64.6,9.95,0.3,9.96,9.95,69.47,2.99,69.47,69.46,603.8,49.12,603.8,603.67,409.8,5.49,410.07,409.8,225.39,24.4,225.6,225.39,0.8,0,0.8,0.8
"78",0.88,0.12,0.9,0.86,65.19,3.09,65.97,65.51,10.22,0.3,10.22,10.21,70.66,2.99,70.8,70.65,613.52,49.12,613.66,613.52,416.37,5.49,417.03,416.37,257.7,24.97,257.91,257.7,0.8,0,0.8,0.8
"79",0.83,0.12,0.84,0.83,68.46,3.09,69.76,69.3,10.71,0.3,10.72,10.71,73,2.99,73.01,72.94,632.7,49.12,632.7,632.57,422.15,5.49,422.41,422.28,261.54,24.97,261.54,261.32,0.78,0,0.78,0.78
"80",0.81,0.12,0.82,0.8,70.28,3.09,70.42,70.09,10.6,0.3,10.6,10.59,73.78,2.99,73.8,73.68,640.98,49.12,640.98,640.84,419.65,5.49,419.79,419.65,268.55,24.97,268.55,268.34,0.78,0,0.78,0.78
"81",0.84,0.12,0.87,0.8,71.5,3.09,72.5,72.04,10.74,0.3,10.74,10.74,75.19,2.99,75.19,75.18,655.82,49.12,655.82,655.29,417.95,5.49,418.34,417.95,288.32,24.97,288.32,288.11,0.8,0,0.8,0.8
"82",0.85,0.12,0.86,0.84,73.28,3.09,73.17,72.48,10.87,0.3,10.89,10.87,75.68,2.99,75.72,75.64,663.3,52.8,663.96,663.3,419,5.49,419.26,419,281.1,24.97,281.31,281.1,0.81,0,0.81,0.81
"83",0.89,0.12,0.9,0.86,71.34,3.09,71.98,71.52,10.73,0.3,10.74,10.73,76.26,2.99,76.26,76.08,663.96,52.8,663.96,663.3,427.54,5.49,427.54,427.27,273.02,24.97,273.23,273.02,0.8,0,0.8,0.79
"84",0.86,0.12,0.88,0.85,72.88,3.09,73.08,72.62,10.89,0.3,10.89,10.89,76.93,2.99,76.94,76.92,669.87,52.8,669.87,669.22,436.07,5.49,436.07,435.68,280.03,24.97,280.24,280.03,0.81,0,0.81,0.81
"85",0.94,0.09,0.95,0.93,73.06,3.09,72.64,72.18,10.95,0.3,10.96,10.95,81.76,4.24,81.76,81.75,667.9,52.8,668.56,667.9,430.82,5.49,430.95,430.82,282.16,24.97,282.16,281.95,0.82,0,0.82,0.82
"86",0.88,0.09,0.91,0.88,70.63,3.09,70.26,69.8,10.52,0.3,10.53,10.52,82.23,4.24,82.26,82.19,661.33,52.8,661.33,660.68,427.93,5.49,427.93,426.49,277.9,24.97,277.9,277.69,0.82,0,0.82,0.82
"87",0.89,0.09,0.9,0.88,72.79,3.09,73.07,72.61,10.57,0.3,10.58,10.57,83.13,4.24,83.17,83.12,673.16,52.8,673.81,673.16,422.68,5.49,422.94,422.68,284.92,24.97,285.13,284.92,0.82,0,0.82,0.82
"88",0.93,0.09,0.94,0.92,73.99,4.46,74.89,74.43,10.78,0.3,10.79,10.78,83.19,4.24,83.2,83.18,672.5,52.8,673.16,672.5,424.51,5.49,424.51,424.25,288.75,24.97,288.96,288.75,0.82,0,0.82,0.82
"89",1.01,0.09,1.02,1.01,75.61,4.46,75.6,75.4,11,0.3,11,11,84.66,4.24,84.67,84.46,673.81,52.8,674.47,673.81,425.83,5.49,425.96,425.83,288.75,24.97,288.96,288.75,0.82,0,0.82,0.82
"90",0.97,0.09,0.98,0.96,80.27,4.46,80.28,79.86,11.75,0.3,11.75,11.74,85.38,4.24,85.38,85.21,671.19,52.8,671.19,670.53,428.19,5.49,430.56,428.19,290.45,24.97,290.66,290.45,0.84,0,0.84,0.84
"91",1.04,0.09,1.05,1.02,78.76,4.46,78.76,78.3,11.53,0.3,11.54,11.53,83.01,4.24,83.11,83.01,662.65,52.8,662.65,661.99,428.85,5.49,428.85,428.59,289.17,24.97,289.17,288.96,0.85,0,0.85,0.85
"92",1.09,0.09,1.09,1.06,78.73,4.46,79.22,78.94,11.56,0.3,11.56,11.54,83.07,4.24,83.07,82.87,656.34,52.8,656.34,656.08,428.72,5.49,428.72,427.4,304.49,24.97,304.49,304.27,0.85,0,0.85,0.85
"93",1.02,0.09,1.05,1.02,79.97,4.46,79.7,79.24,11.49,0.3,11.49,11.49,83.61,4.24,83.61,83.58,665.93,52.8,665.93,665.27,431.34,5.49,431.48,430.82,307.25,24.97,307.46,307.25,0.84,0,0.84,0.84
