Name,IMPERIAL BRANDS ADR 1:1,IMPERIAL BRANDS ADR 1:1 - EARNINGS PER SHR,#ERROR,#ERROR,VECTOR GROUP,VECTOR GROUP - EARNINGS PER SHR,VECTOR GROUP - ASK PRICE,VECTOR GROUP - BID PRICE,BRITISH AMERICAN TOBACCO,BRITISH AMERICAN TOBACCO - EARNINGS PER SHR,BRITISH AMERICAN TOBACCO - ASK PRICE,BRITISH AMERICAN TOBACCO - BID PRICE,TAAT GLOBAL (FRA) ALTERNATIVES,#ERROR,TAAT GLOBAL (FRA) ALTERNATIVES - ASK PRICE,TAAT GLOBAL (FRA) ALTERNATIVES - BID PRICE,CONSTELLATION BRANDS 'A',CONSTELLATION BRANDS 'A' - EARNINGS PER SHR,CONSTELLATION BRANDS 'A' - ASK PRICE,CONSTELLATION BRANDS 'A' - BID PRICE,TURNING POINT BRANDS,TURNING POINT BRANDS - EARNINGS PER SHR,TURNING POINT BRANDS - ASK PRICE,TURNING POINT BRANDS - BID PRICE,RLX TECH.AMER.DEPY. SHS. 1:1,RLX TECH.AMER.DEPY. SHS. 1:1 - EARNINGS PER SHR,RLX TECH.AMER.DEPY. SHS. 1:1 - ASK PRICE,RLX TECH.AMER.DEPY. SHS. 1:1 - BID PRICE,PHILIP MORRIS INTL.,PHILIP MORRIS INTL. - EARNINGS PER SHR,PHILIP MORRIS INTL. - ASK PRICE,PHILIP MORRIS INTL. - BID PRICE,GUDANG GARAM,GUDANG GARAM - EARNINGS PER SHR,GUDANG GARAM - ASK PRICE,GUDANG GARAM - BID PRICE
Code,@IMBBY(P),@IMBBY(EPS),,,U:VGR(P),U:VGR(EPS),U:VGR(PA),U:VGR(PB),BATS(P),BATS(EPS),BATS(PA),BATS(PB),D:2TP(P),,D:2TP(PA),D:2TP(PB),U:STZ(P),U:STZ(EPS),U:STZ(PA),U:STZ(PB),U:TPB(P),U:TPB(EPS),U:TPB(PA),U:TPB(PB),U:RLX(P),U:RLX(EPS),U:RLX(PA),U:RLX(PB),U:PM(P),U:PM(EPS),U:PM(PA),U:PM(PB),ID:GUD(P),ID:GUD(EPS),ID:GUD(PA),ID:GUD(PB)
CURRENCY,U$,U$,,,U$,U$,U$,U$,£,£,£,£,E,,E,E,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,RI,RI,RI,RI
12/04/20,19.94,2.09,,,11.68,0.45,11.69,11.68,2721,296.5,2721,2720.5,1.99,,2,1.94,213.79,5.49,213.79,213.73,40.31,0.4,40.43,40.31,NA,NA,NA,NA,80.75,4.93,80.78,80.77,44000,4825.48,44075,44000
12/07/20,20.5,2.09,,,11.9,0.45,11.91,11.9,2849,296.5,2849,2846.5,1.9,,1.97,1.89,212.04,5.49,212.12,212.04,40.65,0.4,40.62,40.61,NA,NA,NA,NA,81.68,4.93,81.66,81.65,45475,4825.48,45475,45450
12/08/20,20.652,2.09,,,12.17,0.45,12.16,12.15,2902,296.5,2902,2900.5,1.97,,2.04,1.97,213.01,5.49,213.01,213,42.48,0.4,42.53,42.44,NA,NA,NA,NA,82.64,4.93,82.65,82.64,47600,4825.48,47650,47600
12/09/20,20.9,2.09,,,12.33,0.45,12.33,12.32,2909,296.5,2909.5,2909,1.89,,1.95,1.88,209.38,5.49,209.39,209.22,42.6,0.4,42.61,42.6,NA,NA,NA,NA,84.61,4.93,84.56,84.55,47600,4825.48,NA,NA
12/10/20,21.08,2.09,,,12.4,0.45,12.4,12.39,2924,296.5,2924.5,2924,2.02,,2.02,1.94,207.29,5.49,207.29,207.05,43.19,0.4,43.21,43.2,NA,NA,NA,NA,84.97,4.93,85.01,84.97,44275,4825.48,44275,NA
12/11/20,20.94,2.09,,,12.47,0.45,12.48,12.47,2917,296.5,2917,2916.5,2.1,,2.1,2.03,205.29,5.49,205.25,205.24,43.85,0.4,43.85,43.84,NA,NA,NA,NA,85,4.93,85,84.99,41350,4825.48,41375,41350
12/14/20,20.92,2.09,,,12.77,0.45,12.77,12.76,2885.5,296.5,2886.5,2885.5,2.32,,2.35,2.26,207,5.49,206.98,206.94,42.5,0.4,42.5,42.46,NA,NA,NA,NA,84.4,4.93,84.39,84.37,42950,4825.48,42975,42950
12/15/20,21.04,2.09,,,12.81,0.45,12.82,12.81,2838,296.5,2838.5,2838,2.05,,2.14,2.06,212.25,5.49,212.37,212.25,42.03,0.4,42.04,42.03,NA,NA,NA,NA,84.29,4.93,84.3,84.29,42000,4825.48,42025,42000
12/16/20,21.25,2.09,,,12.71,0.45,12.72,12.71,2860,296.5,2860,2857.5,2.05,,2.09,2.01,214.81,5.49,214.83,214.77,42.71,0.4,42.77,42.69,NA,NA,NA,NA,85.63,4.93,85.64,85.63,42200,4825.48,42225,42200
12/17/20,21.36,2.09,,,12.84,0.45,12.85,12.84,2795,296.5,2795.5,2795,2.04,,2.05,2,217.8,5.49,217.93,217.8,43.22,0.4,43.29,43.2,NA,NA,NA,NA,85.67,4.93,85.67,85.62,42150,4825.48,42200,42150
12/18/20,21.24,2.09,,,12.65,0.45,12.6,12.59,2785,296.5,2786,2785,2.04,,2.07,2,218.68,5.49,218.66,218.65,44.33,0.4,44.17,44.16,NA,NA,NA,NA,86.09,4.93,86.19,86.12,42025,4825.48,42050,42025
12/21/20,20.78,2.09,,,11.67,0.45,11.68,11.67,2709,296.5,2709.5,2709,1.88,,1.93,1.87,214.46,5.49,214.57,214.46,44.21,0.4,44.23,44.21,NA,NA,NA,NA,84.17,4.93,84.17,84.16,41850,4825.48,41875,41850
12/22/20,20.66,2.09,,,11.78,0.45,11.79,11.78,2723.5,296.5,2724.5,2723.5,1.82,,1.89,1.82,212.95,5.49,212.95,212.87,44.73,0.4,44.73,44.7,NA,NA,NA,NA,82.19,4.93,82.2,82.19,41325,4825.48,41350,41325
12/23/20,20.885,2.09,,,11.86,0.45,11.86,11.85,2714,296.5,2714,2713.5,1.85,,1.88,1.81,215.48,5.49,215.49,215.48,46.03,0.4,46.03,46.02,NA,NA,NA,NA,82.2,4.93,82.2,82.18,41075,4825.48,41100,41075
12/24/20,21.006,2.09,,,11.86,0.45,11.87,11.86,2730,296.5,2730.5,2730,1.85,,NA,NA,215.81,5.49,215.91,215.84,47,0.4,47,46.94,NA,NA,NA,NA,82.51,4.93,82.58,82.53,41075,4825.48,NA,NA
12/25/20,21.006,2.09,,,11.86,0.45,NA,NA,2730,296.5,NA,NA,1.85,,NA,NA,215.81,5.49,NA,NA,47,0.4,NA,NA,NA,NA,NA,NA,82.51,4.93,NA,NA,41075,4825.48,NA,NA
12/28/20,21.05,2.09,,,12.03,0.45,12.03,12.02,2730,296.5,NA,NA,1.78,,1.82,1.78,218.64,5.49,218.64,218.46,46.42,0.4,46.51,46.42,NA,NA,NA,NA,82.49,4.93,82.49,82.47,41025,4825.48,41050,41025
12/29/20,21.25,2.09,,,11.79,0.45,11.79,11.78,2800,296.5,2800.5,2800,1.58,,1.58,1.52,217.44,5.49,217.54,217.44,44.93,0.4,44.93,44.86,NA,NA,NA,NA,81.87,4.93,81.88,81.86,41075,4825.48,41100,41075
12/30/20,21.13,2.09,,,11.7,0.45,11.7,11.69,2773.5,296.5,2773.5,2773,1.63,,1.67,1.63,218.21,5.49,218.29,218.22,44.59,0.4,44.68,44.59,NA,NA,NA,NA,81.48,4.93,81.51,81.5,41000,4825.48,41000,40975
12/31/20,21.02,2.09,,,11.65,0.45,11.66,11.65,2708,296.5,2710.5,2708,1.63,,NA,NA,219.05,5.49,219.05,219.01,44.56,0.4,44.56,44.53,NA,NA,NA,NA,82.79,4.93,82.73,82.72,41000,4825.48,NA,NA
01/01/21,21.02,2.09,,,11.65,0.45,NA,NA,2708,296.5,NA,NA,1.63,,NA,NA,219.05,5.49,NA,NA,44.56,0.4,NA,NA,NA,NA,NA,NA,82.79,4.93,NA,NA,41000,4825.48,NA,NA
01/04/21,21.08,2.09,,,11.63,0.45,11.64,11.63,2753.5,296.5,2754,2753.5,1.79,,1.8,1.73,216.74,5.49,216.74,216.62,43.02,0.4,43.04,43.02,NA,NA,NA,NA,81.5,4.93,81.53,81.5,41000,4825.48,41025,41000
01/05/21,21.381,2.09,,,11.98,0.45,11.98,11.97,2788.5,296.5,2789,2788.5,1.81,,1.82,1.8,216.89,5.49,216.98,216.9,43.67,0.4,43.67,43.58,NA,NA,NA,NA,82.39,4.93,82.35,82.34,40725,4825.48,40750,40725
01/06/21,21.65,2.09,,,13.37,0.45,13.38,13.37,2813,296.5,2813,2812.5,1.83,,1.89,1.81,223.72,5.49,224.42,224.31,46.77,0.4,46.77,46.76,NA,NA,NA,NA,82.5,4.93,82.51,82.5,40350,4825.48,40375,40350
01/07/21,22.23,2.09,,,12.97,0.45,12.98,12.97,2800,296.5,2802,2800,1.81,,1.81,1.75,228.87,5.49,228.76,228.75,47.78,0.4,47.78,47.77,NA,NA,NA,NA,82.98,4.93,82.98,82.97,40350,4825.48,40375,40350
01/08/21,22.38,2.09,,,12.88,0.45,12.88,12.87,2800,296.5,2802.5,2800,1.75,,1.82,1.75,230.21,5.49,230.23,230.22,45.52,0.4,45.59,45.52,NA,NA,NA,NA,83.09,4.93,83.11,83.1,41250,4825.48,41275,41250
01/11/21,21.81,2.09,,,12.71,0.45,12.71,12.7,2779.5,296.5,2779.5,2778,1.65,,1.72,1.65,226.88,9.47,226.88,226.77,45.16,0.4,45.21,45.1,NA,NA,NA,NA,82.31,4.93,82.32,82.31,41250,4825.48,41250,41200
01/12/21,21.72,2.09,,,12.8,0.45,12.8,12.79,2729,296.5,2729.5,2729,1.68,,1.68,1.63,228.09,9.47,228.09,228.08,44.32,0.4,44.36,44.29,NA,NA,NA,NA,81.07,4.93,81.04,81.01,40500,4825.48,40525,40500
01/13/21,22,2.09,,,12.39,0.45,12.39,12.38,2754.5,296.5,2755,2754.5,1.77,,1.82,1.76,224.57,9.47,224.57,224.54,44.4,0.4,44.4,44.39,NA,NA,NA,NA,81.21,4.93,81.21,81.2,41450,4825.48,41450,41300
01/14/21,22.4795,2.09,,,12.28,0.45,12.28,12.27,2780.5,296.5,2780.5,2780,1.76,,1.76,1.69,223.9,9.47,223.9,223.87,44.57,0.4,44.58,44.57,NA,NA,NA,NA,81.18,4.93,81.18,81.16,40800,4825.48,40825,40800
01/15/21,22.26,2.09,,,12.23,0.45,12.23,12.22,2770,296.5,2770,2769.5,1.74,,1.75,1.7,219.99,9.47,220,219.96,44.18,0.4,44.19,44.18,NA,NA,NA,NA,80.94,4.93,80.95,80.94,40800,4825.48,40825,40800
01/18/21,22.26,2.09,,,12.23,0.45,NA,NA,2750,296.5,2750.5,2750,1.65,,1.69,1.63,219.99,9.47,NA,NA,44.18,0.4,NA,NA,NA,NA,NA,NA,80.94,4.93,NA,NA,41175,4825.48,41200,41175
01/19/21,21.98,2.09,,,11.99,0.45,12,11.99,2740,296.5,2740.5,2740,1.67,,1.68,1.62,222.91,9.47,223.01,222.91,45.12,0.4,45.09,45.08,NA,NA,NA,NA,81.9,4.93,81.9,81.89,41175,4825.48,41200,41175
01/20/21,22.3,2.09,,,12.45,0.45,12.46,12.45,2747.5,296.5,2747.5,2747,1.7,,1.68,1.62,227.51,9.47,227.58,227.51,45.06,0.4,45.05,45.04,NA,NA,NA,NA,81.7,4.93,81.73,81.7,41075,4825.48,41100,41075
01/21/21,22.58,2.09,,,12.13,0.45,12.14,12.13,2748,296.5,2748,2747.5,1.7,,1.74,1.68,228.69,9.47,228.69,228.68,45.1,0.4,45.1,45.04,NA,NA,NA,NA,81.33,4.93,81.35,81.33,41075,4825.48,41100,41075
01/22/21,22.64,2.09,,,12.16,0.45,12.17,12.16,2738.5,296.5,2738.5,2738,1.81,,1.86,1.8,226.91,9.47,226.92,226.91,45.24,0.4,45.23,45.22,29.51,NA,30.01,30,80.68,4.93,80.67,80.66,40850,4825.48,40850,40800
01/25/21,22.43,2.09,,,12.25,0.45,12.25,12.24,2740,296.5,2740,2737.5,1.82,,1.88,1.82,222.17,9.47,222.23,222.05,45.08,0.4,45.09,45.08,28.63,0,28.59,28.35,81.34,4.93,81.36,81.34,40250,4825.48,40275,40250
01/26/21,22.385,2.09,,,12.06,0.45,12.08,12.07,2733.5,296.5,2733.5,2733,1.85,,1.81,1.75,219.85,9.47,219.9,219.89,46.06,0.4,46.06,46.04,24.04,0,24.03,24.02,81.99,4.93,81.99,81.98,39925,4825.48,39950,39925
01/27/21,21.53,2.09,,,11.9,0.45,11.91,11.9,2783.5,296.5,2783.5,2783,1.7,,1.74,1.68,213.32,9.47,213.42,213.32,45.27,0.4,45.34,45.27,23.16,0,23.2,23.15,79.8,4.93,79.87,79.86,40025,4825.48,40025,40000
